player,position,team,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,url
Oliver Perez,P,WSH,--,1,0,1,1,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,https://www.mlb.com/player/424144
Anthony Ranaudo,P,CWS,--,2,1,1,0,0,1,1,0,0,0,0,.500,.500,2.000,2.500,https://www.mlb.com/player/519168
Chris Sale,P,CWS,--,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,https://www.mlb.com/player/519242
Charlie Tilson,CF,CWS,--,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,https://www.mlb.com/player/605508
Jose Berrios,P,MIN,--,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,https://www.mlb.com/player/621244
Tommy Milone,P,MIN,--,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,https://www.mlb.com/player/543548
Cory Gearrin,P,SF,--,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,https://www.mlb.com/player/518715
Martin Perez,P,TEX,--,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,https://www.mlb.com/player/527048
Tomas Telis,C,MIA,--,4,1,2,0,0,1,2,0,0,0,0,.500,.500,1.250,1.750,https://www.mlb.com/player/542513
Yu Darvish,P,TEX,--,3,1,1,0,0,1,1,0,1,0,0,.333,.333,1.333,1.667,https://www.mlb.com/player/506433
Pat Valaika,3B,COL,--,11,1,4,1,0,1,2,0,4,0,0,.364,.364,.727,1.091,https://www.mlb.com/player/642162
Corey Kluber,P,CLE,--,3,0,1,1,0,0,0,0,2,0,0,.333,.333,.667,1.000,https://www.mlb.com/player/446372
Christian Bergman,P,COL,--,2,0,1,0,0,0,0,0,0,0,0,.500,.500,.500,1.000,https://www.mlb.com/player/548357
Jhoulys Chacin,P,LAA,--,4,0,2,0,0,0,0,0,1,0,0,.500,.500,.500,1.000,https://www.mlb.com/player/468504
Yefri Perez,SS,MIA,--,2,0,1,0,0,0,0,0,1,1,2,.500,.500,.500,1.000,https://www.mlb.com/player/570639
Jacob Stallings,C,PIT,--,4,0,2,0,0,0,0,0,1,0,0,.500,.500,.500,1.000,https://www.mlb.com/player/607732
