player,position,team,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,url
Cam Gallagher,C,KC,--,1,1,1,0,0,1,4,0,0,0,0,1.000,1.000,4.000,5.000,https://www.mlb.com/player/595956
Jaime Garcia,P,NYY,--,1,1,1,0,0,1,4,0,0,0,0,1.000,1.000,4.000,5.000,https://www.mlb.com/player/448802
Joey Wendle,2B,OAK,--,2,3,2,0,0,1,5,0,0,0,0,1.000,1.000,2.500,3.500,https://www.mlb.com/player/621563
Chris Iannetta,C,ARI,--,3,4,3,1,0,1,9,0,0,0,0,1.000,1.000,2.333,3.333,https://www.mlb.com/player/455104
Mike Montgomery,P,CHC,--,1,2,1,1,0,0,2,0,0,0,0,1.000,1.000,2.000,3.000,https://www.mlb.com/player/543557
Aaron Hill,LF,SF,--,1,1,1,1,0,0,3,1,0,0,0,1.000,1.000,2.000,3.000,https://www.mlb.com/player/431094
Brandon Belt,1B,SF,--,3,4,3,0,0,1,10,2,0,0,0,1.000,.833,2.000,2.833,https://www.mlb.com/player/474832
Antonio Senzatela,P,COL,--,2,0,2,1,0,0,5,0,0,0,0,1.000,1.000,1.500,2.500,https://www.mlb.com/player/622608
Ervin Santana,P,MIN,--,2,1,2,1,0,0,5,0,0,0,0,1.000,1.000,1.500,2.500,https://www.mlb.com/player/429722
Shane Peterson,LF,TB,--,2,2,2,1,0,0,3,0,0,0,0,1.000,1.000,1.500,2.500,https://www.mlb.com/player/451089
Ryan Rua,LF,TEX,--,2,5,1,0,0,1,4,0,0,0,0,.500,.500,2.000,2.500,https://www.mlb.com/player/607387
Devon Travis,2B,TOR,--,3,5,2,0,0,1,5,0,1,0,0,.667,.667,1.667,2.333,https://www.mlb.com/player/581527
Josh Donaldson,3B,TOR,--,2,9,2,1,0,0,6,1,0,0,0,1.000,.750,1.500,2.250,https://www.mlb.com/player/518626
Chris Taylor,LF,LAD,--,10,15,6,0,0,3,20,4,2,0,0,.600,.714,1.500,2.214,https://www.mlb.com/player/621035
Patrick Kivlehan,RF,CIN,--,5,5,3,2,0,1,9,0,1,0,0,.600,.600,1.600,2.200,https://www.mlb.com/player/623182
Ty Kelly,2B,PHI,--,3,3,2,0,0,1,6,0,0,0,0,.667,.500,1.667,2.167,https://www.mlb.com/player/571841
Max Moroff,2B,PIT,--,4,3,3,1,1,0,10,1,0,0,0,.750,.667,1.500,2.167,https://www.mlb.com/player/621559
Jacoby Ellsbury,CF,NYY,--,7,14,4,1,1,1,14,1,0,0,0,.571,.625,1.429,2.054,https://www.mlb.com/player/453056
Kristopher Negron,2B,ARI,--,1,0,1,0,0,0,1,0,0,0,0,1.000,1.000,1.000,2.000,https://www.mlb.com/player/502117
Robbie Ray,P,ARI,--,1,1,1,0,0,0,2,0,0,0,0,1.000,1.000,1.000,2.000,https://www.mlb.com/player/592662
Jackson Stephens,P,CIN,--,1,0,1,0,0,0,2,0,0,0,0,1.000,1.000,1.000,2.000,https://www.mlb.com/player/623451
Tyler Chatwood,P,COL,--,1,0,1,0,0,0,2,0,0,0,0,1.000,1.000,1.000,2.000,https://www.mlb.com/player/543022
JaCoby Jones,CF,DET,--,1,2,1,0,0,0,3,1,0,0,0,1.000,1.000,1.000,2.000,https://www.mlb.com/player/592444
Brock Stewart,P,LAD,--,1,0,1,0,0,0,1,0,0,0,0,1.000,1.000,1.000,2.000,https://www.mlb.com/player/592779
Steven Matz,P,NYM,--,1,0,1,0,0,0,1,0,0,0,0,1.000,1.000,1.000,2.000,https://www.mlb.com/player/571927
Miguel Andujar,3B,NYY,--,1,0,1,0,0,0,2,0,0,0,0,1.000,1.000,1.000,2.000,https://www.mlb.com/player/609280
Tyler Austin,1B,NYY,--,1,1,1,0,0,0,1,0,0,0,0,1.000,1.000,1.000,2.000,https://www.mlb.com/player/592122
Boog Powell,CF,OAK,--,1,5,1,0,0,0,3,1,0,0,0,1.000,1.000,1.000,2.000,https://www.mlb.com/player/621471
Chad Kuhl,P,PIT,--,1,0,1,0,0,0,2,0,0,0,0,1.000,1.000,1.000,2.000,https://www.mlb.com/player/641771
Gerrit Cole,P,PIT,--,1,0,1,0,0,0,2,0,0,0,0,1.000,1.000,1.000,2.000,https://www.mlb.com/player/543037
Tyler Glasnow,P,PIT,--,1,0,1,0,0,0,3,1,0,0,0,1.000,1.000,1.000,2.000,https://www.mlb.com/player/607192
Steven Brault,P,PIT,--,1,0,1,0,0,0,2,0,0,0,0,1.000,1.000,1.000,2.000,https://www.mlb.com/player/643230
Jacob Stallings,C,PIT,--,1,0,1,0,0,0,1,0,0,0,0,1.000,1.000,1.000,2.000,https://www.mlb.com/player/607732
Travis Wood,P,SD,--,2,0,2,0,0,0,3,0,0,0,0,1.000,1.000,1.000,2.000,https://www.mlb.com/player/475243
Christian Arroyo,SS,SF,--,3,1,2,2,0,0,5,0,1,0,0,.667,.667,1.333,2.000,https://www.mlb.com/player/624414
Andrew Albers,P,SEA,--,1,0,1,0,0,0,1,0,0,0,0,1.000,1.000,1.000,2.000,https://www.mlb.com/player/452027
Magneuris Sierra,RF,STL,--,1,4,1,0,0,0,2,0,0,0,0,1.000,1.000,1.000,2.000,https://www.mlb.com/player/642423
Teoscar Hernandez,RF,TOR,--,3,1,2,2,0,0,4,0,1,0,0,.667,.667,1.333,2.000,https://www.mlb.com/player/606192
Brian Goodwin,CF,WSH,--,1,4,1,0,0,0,1,0,0,0,0,1.000,1.000,1.000,2.000,https://www.mlb.com/player/571718
Nick Williams,RF,PHI,--,9,5,5,1,2,1,17,0,0,0,0,.556,.500,1.444,1.944,https://www.mlb.com/player/608384
Ryan Goins,SS,TOR,--,14,6,10,1,0,2,20,1,1,0,0,.714,.688,1.214,1.902,https://www.mlb.com/player/572365
Daniel Murphy,2B,WSH,--,12,17,8,2,1,1,21,1,0,0,0,.667,.643,1.250,1.893,https://www.mlb.com/player/502517
Yoenis Cespedes,LF,NYM,--,5,5,3,0,0,1,6,0,1,0,0,.600,.600,1.200,1.800,https://www.mlb.com/player/493316
Trevor Story,SS,COL,--,9,6,6,1,0,1,13,0,2,0,0,.667,.667,1.111,1.778,https://www.mlb.com/player/596115
Corey Seager,SS,LAD,--,9,13,6,1,0,1,14,0,0,0,0,.667,.667,1.111,1.778,https://www.mlb.com/player/608369
Manny Machado,SS,BAL,--,12,7,7,0,0,3,22,0,1,0,0,.583,.438,1.333,1.771,https://www.mlb.com/player/592518
Willson Contreras,C,CHC,--,13,7,8,4,0,1,21,1,2,0,0,.615,.600,1.154,1.754,https://www.mlb.com/player/575929
Jim Adduci,RF,DET,--,4,2,2,1,1,0,5,0,1,0,0,.500,.500,1.250,1.750,https://www.mlb.com/player/451192
Welington Castillo,C,BAL,--,6,6,4,0,0,1,11,0,0,0,0,.667,.571,1.167,1.738,https://www.mlb.com/player/456078
Scooter Gennett,2B,CIN,--,13,22,5,0,0,4,21,1,2,0,0,.385,.429,1.308,1.736,https://www.mlb.com/player/571697
Manuel Margot,CF,SD,--,5,3,4,1,0,0,9,0,0,0,0,.800,.667,1.000,1.667,https://www.mlb.com/player/622534
Carson Kelly,C,STL,--,2,3,1,1,0,0,3,1,0,0,0,.500,.667,1.000,1.667,https://www.mlb.com/player/608348
Howie Kendrick,LF,WSH,--,10,7,5,0,2,1,16,0,1,0,0,.500,.455,1.200,1.655,https://www.mlb.com/player/435062
Eugenio Suarez,3B,CIN,--,13,10,7,2,1,1,21,3,2,0,0,.538,.556,1.077,1.632,https://www.mlb.com/player/553993
Mallex Smith,CF,TB,--,4,5,3,1,0,0,5,0,0,0,0,.750,.600,1.000,1.600,https://www.mlb.com/player/605480
Mitch Haniger,RF,SEA,--,11,15,6,2,0,1,14,1,0,0,0,.545,.583,1.000,1.583,https://www.mlb.com/player/571745
Matt Carpenter,3B,STL,--,8,14,4,2,0,1,11,0,1,0,0,.500,.444,1.125,1.569,https://www.mlb.com/player/572761
