player,position,team,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,url
Erik Kratz,C,NYY,--,1,0,1,1,0,0,2,0,0,0,0,1.000,1.000,2.000,3.000,https://www.mlb.com/player/456124
Darrell Ceciliani,LF,TOR,--,1,1,1,1,0,0,1,0,0,0,0,1.000,1.000,2.000,3.000,https://www.mlb.com/player/571553
Renato Nunez,LF,OAK,--,2,1,1,0,0,1,3,1,1,0,0,.500,.667,2.000,2.667,https://www.mlb.com/player/600524
Jake Buchanan,P,ARI,--,1,1,1,0,0,0,1,0,0,0,0,1.000,1.000,1.000,2.000,https://www.mlb.com/player/594772
Archie Bradley,P,ARI,--,1,0,1,0,0,0,1,0,0,0,0,1.000,1.000,1.000,2.000,https://www.mlb.com/player/605151
Wade Miley,P,BAL,--,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,https://www.mlb.com/player/489119
Jackson Stephens,P,CIN,--,1,1,1,0,0,0,2,0,0,0,0,1.000,1.000,1.000,2.000,https://www.mlb.com/player/623451
Justin Verlander,P,HOU,--,1,0,1,0,0,0,1,0,0,0,0,1.000,1.000,1.000,2.000,https://www.mlb.com/player/434378
Colin Moran,3B,HOU,--,1,2,1,0,0,0,1,0,0,0,0,1.000,1.000,1.000,2.000,https://www.mlb.com/player/592567
Kenley Jansen,P,LAD,--,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,https://www.mlb.com/player/445276
Luis Severino,P,NYY,--,1,1,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,https://www.mlb.com/player/622663
Andrew Albers,P,SEA,--,1,0,1,0,0,0,1,0,0,0,0,1.000,1.000,1.000,2.000,https://www.mlb.com/player/452027
Jake Odorizzi,P,TB,--,1,0,1,0,0,0,1,0,0,0,0,1.000,1.000,1.000,2.000,https://www.mlb.com/player/543606
Joey Wendle,2B,OAK,--,4,3,2,0,0,1,5,1,1,0,0,.500,.600,1.250,1.850,https://www.mlb.com/player/621563
Jeremy Hazelbaker,CF,ARI,--,12,7,7,1,1,1,8,4,5,0,0,.583,.688,1.083,1.771,https://www.mlb.com/player/571757
Miguel Andujar,3B,NYY,--,4,0,3,1,0,0,4,0,0,0,0,.750,.750,1.000,1.750,https://www.mlb.com/player/609280
Taylor Davis,C,CHC,--,3,1,2,1,0,0,1,0,0,0,0,.667,.667,1.000,1.667,https://www.mlb.com/player/543089
Ervin Santana,P,MIN,--,3,3,2,1,0,0,5,0,0,0,0,.667,.667,1.000,1.667,https://www.mlb.com/player/429722
Carlos Rodon,P,CWS,--,2,0,1,1,0,0,2,0,1,0,0,.500,.500,1.000,1.500,https://www.mlb.com/player/607074
Adam Wainwright,P,STL,--,13,7,6,1,0,2,10,1,3,0,0,.462,.500,1.000,1.500,https://www.mlb.com/player/425794
Rhys Hoskins,LF,PHI,--,45,24,16,4,0,7,33,13,14,0,0,.356,.492,.911,1.403,https://www.mlb.com/player/656555
Ryan Flaherty,2B,BAL,--,6,3,3,1,0,0,4,4,2,0,0,.500,.700,.667,1.367,https://www.mlb.com/player/475247
Christian Villanueva,3B,SD,--,3,0,2,0,0,0,2,0,0,0,0,.667,.667,.667,1.333,https://www.mlb.com/player/570799
Erasmo Ramirez,P,SEA,--,3,0,2,0,0,0,1,0,1,0,0,.667,.667,.667,1.333,https://www.mlb.com/player/541640
Jaime Garcia,P,NYY,--,7,1,3,0,0,1,7,0,0,0,0,.429,.429,.857,1.286,https://www.mlb.com/player/448802
