name,team,W,L,ERA,G,GS,CG,SHO,SV,SVO,IP,H,R,ER,HR,HB,BB,SO,WHIP,AVG,url
Dan Haren,LAA,--,--,4.39,--,--,--,--,--,--,92.1,111,50,45,15,2,0,69,1.20,.297,https://www.mlb.com/player/429717
Felix Hernandez,SEA,--,--,1.59,--,--,--,--,--,--,90.2,65,22,16,3,5,0,67,0.72,.198,https://www.mlb.com/player/433587
CC Sabathia,NYY,--,--,3.30,--,--,--,--,--,--,90.0,79,36,33,8,3,0,56,0.88,.247,https://www.mlb.com/player/282332
Roy Halladay,PHI,--,--,2.51,--,--,--,--,--,--,89.2,89,27,25,10,5,0,53,0.99,.262,https://www.mlb.com/player/136880
Jered Weaver,LAA,--,--,3.05,--,--,--,--,--,--,88.2,70,35,30,9,0,0,85,0.79,.211,https://www.mlb.com/player/450308
Tim Hudson,ATL,--,--,2.87,--,--,--,--,--,--,84.2,83,28,27,8,5,0,38,0.98,.267,https://www.mlb.com/player/218596
Chris Carpenter,STL,--,--,3.42,--,--,--,--,--,--,84.1,80,35,32,9,7,0,50,0.95,.257,https://www.mlb.com/player/112020
Mark Buehrle,CWS,--,--,4.30,--,--,--,--,--,--,83.2,106,41,40,5,1,0,38,1.27,.323,https://www.mlb.com/player/279824
Ubaldo Jimenez,COL,--,--,3.33,--,--,--,--,--,--,83.2,60,32,31,6,0,0,77,0.72,.205,https://www.mlb.com/player/434622
Zack Greinke,KC,--,--,5.72,--,--,--,--,--,--,83.1,103,59,53,13,3,0,59,1.24,.296,https://www.mlb.com/player/425844
Mike Pelfrey,NYM,--,--,3.75,--,--,--,--,--,--,81.2,78,35,34,4,1,0,39,0.96,.264,https://www.mlb.com/player/460059
John Danks,CWS,--,--,3.43,--,--,--,--,--,--,81.1,71,31,31,10,1,0,58,0.87,.233,https://www.mlb.com/player/433579
Jon Lester,BOS,--,--,2.90,--,--,--,--,--,--,80.2,66,30,26,4,5,0,72,0.82,.231,https://www.mlb.com/player/452657
John Lackey,BOS,--,--,4.82,--,--,--,--,--,--,80.1,96,44,43,6,2,0,48,1.20,.297,https://www.mlb.com/player/407793
Brett Myers,HOU,--,--,4.26,--,--,--,--,--,--,80.1,86,40,38,11,0,0,55,1.07,.275,https://www.mlb.com/player/408206
Tommy Hanson,ATL,--,--,2.81,--,--,--,--,--,--,80.0,73,33,25,3,5,0,55,0.91,.245,https://www.mlb.com/player/462102
Ervin Santana,LAA,--,--,4.50,--,--,--,--,--,--,80.0,82,43,40,9,8,0,40,1.03,.268,https://www.mlb.com/player/429722
Joe Saunders,ARI,--,--,4.52,--,--,--,--,--,--,79.2,83,48,40,9,4,0,33,1.04,.271,https://www.mlb.com/player/434578
Ryan Dempster,CHC,--,--,3.52,--,--,--,--,--,--,79.1,71,35,31,7,5,0,52,0.89,.241,https://www.mlb.com/player/133225
Roberto Hernandez,CLE,--,--,3.30,--,--,--,--,--,--,79.0,74,34,29,4,5,0,40,0.94,.254,https://www.mlb.com/player/433584
Kyle Davies,KC,--,--,5.01,--,--,--,--,--,--,79.0,81,44,44,4,2,0,46,1.03,.269,https://www.mlb.com/player/434678
Roy Oswalt,PHI,--,--,2.85,--,--,--,--,--,--,79.0,54,27,25,10,4,0,52,0.68,.199,https://www.mlb.com/player/400061
Adam Wainwright,STL,--,--,2.96,--,--,--,--,--,--,79.0,68,29,26,9,3,0,66,0.86,.236,https://www.mlb.com/player/425794
Justin Verlander,DET,--,--,3.68,--,--,--,--,--,--,78.1,77,34,32,5,2,0,58,0.98,.256,https://www.mlb.com/player/434378
Ricky Romero,TOR,--,--,3.91,--,--,--,--,--,--,78.1,80,35,34,5,3,0,53,1.02,.270,https://www.mlb.com/player/460069
Edwin Jackson,CWS,--,--,5.19,--,--,--,--,--,--,78.0,94,46,45,8,2,0,59,1.21,.300,https://www.mlb.com/player/429719
Bronson Arroyo,CIN,--,--,3.58,--,--,--,--,--,--,78.0,70,31,31,7,2,0,36,0.90,.238,https://www.mlb.com/player/276520
Carl Pavano,MIN,--,--,4.46,--,--,--,--,--,--,76.2,81,38,38,12,3,0,28,1.06,.278,https://www.mlb.com/player/134321
David Price,TB,--,--,2.84,--,--,--,--,--,--,76.0,65,25,24,4,3,0,57,0.86,.230,https://www.mlb.com/player/456034
Colby Lewis,TEX,--,--,3.79,--,--,--,--,--,--,76.0,71,37,32,11,2,0,51,0.93,.247,https://www.mlb.com/player/407890
Hiroki Kuroda,LAD,--,--,2.39,--,--,--,--,--,--,75.1,72,27,20,3,2,0,48,0.96,.256,https://www.mlb.com/player/493133
Randy Wolf,MIL,--,--,4.18,--,--,--,--,--,--,75.1,87,39,35,8,4,0,36,1.15,.285,https://www.mlb.com/player/150116
A.J. Burnett,NYY,--,--,4.68,--,--,--,--,--,--,75.0,77,41,39,7,8,0,48,1.03,.277,https://www.mlb.com/player/150359
Rodrigo Lopez,ARI,--,--,6.27,--,--,--,--,--,--,74.2,93,61,52,17,0,1,26,1.26,.308,https://www.mlb.com/player/150438
Kevin Millwood,BAL,--,--,4.72,--,--,--,--,--,--,74.1,80,42,39,14,3,0,43,1.08,.281,https://www.mlb.com/player/119154
Ian Kennedy,ARI,--,--,4.01,--,--,--,--,--,--,74.0,64,38,33,10,4,0,65,0.86,.234,https://www.mlb.com/player/453178
Jeremy Guthrie,BAL,--,--,5.11,--,--,--,--,--,--,74.0,93,42,42,13,8,0,36,1.26,.306,https://www.mlb.com/player/425386
Max Scherzer,DET,--,--,2.22,--,--,--,--,--,--,73.0,65,18,18,4,4,0,56,0.89,.243,https://www.mlb.com/player/453286
Jason Vargas,SEA,--,--,4.56,--,--,--,--,--,--,73.0,79,39,37,8,0,0,32,1.08,.271,https://www.mlb.com/player/450306
Josh Johnson,FLA,--,--,2.64,--,--,--,--,--,--,71.2,67,22,21,3,1,0,49,0.93,.253,https://www.mlb.com/player/435178
Livan Hernandez,WSH,--,--,4.77,--,--,--,--,--,--,71.2,80,43,38,6,3,0,33,1.12,.294,https://www.mlb.com/player/115817
Johnny Cueto,CIN,--,--,3.41,--,--,--,--,--,--,71.1,69,30,27,7,6,0,47,0.97,.260,https://www.mlb.com/player/456501
Trevor Cahill,OAK,--,--,2.78,--,--,--,--,--,--,71.1,61,27,22,7,2,0,36,0.86,.237,https://www.mlb.com/player/502239
Matt Cain,SF,--,--,3.15,--,--,--,--,--,--,71.1,78,30,25,6,3,0,43,1.09,.280,https://www.mlb.com/player/430912
