name,team,W,L,ERA,G,GS,CG,SHO,SV,SVO,IP,H,R,ER,HR,HB,BB,SO,WHIP,AVG,url
Kevin Millwood,BAL,--,--,4.64,--,--,--,--,--,--,95.0,108,53,49,14,4,32,66,1.47,.287,https://www.mlb.com/player/119154
Rodrigo Lopez,ARI,--,--,3.74,--,--,--,--,--,--,89.0,81,44,37,14,2,18,47,1.11,.243,https://www.mlb.com/player/150438
Roberto Hernandez,CLE,--,--,3.65,--,--,--,--,--,--,88.2,78,41,36,6,6,32,45,1.24,.244,https://www.mlb.com/player/433584
Brett Myers,HOU,--,--,2.77,--,--,--,--,--,--,84.1,67,27,26,6,2,24,63,1.08,.220,https://www.mlb.com/player/408206
Zack Greinke,KC,--,--,4.67,--,--,--,--,--,--,81.0,85,51,42,5,5,20,67,1.30,.271,https://www.mlb.com/player/425844
Felix Hernandez,SEA,--,--,3.20,--,--,--,--,--,--,76.0,64,37,27,10,3,29,58,1.22,.229,https://www.mlb.com/player/433587
Dan Haren,LAA,--,--,5.05,--,--,--,--,--,--,73.0,76,43,41,10,2,17,56,1.27,.269,https://www.mlb.com/player/429717
Ryan Dempster,CHC,--,--,3.96,--,--,--,--,--,--,72.2,56,40,32,5,5,34,77,1.24,.211,https://www.mlb.com/player/133225
Tommy Hanson,ATL,--,--,4.75,--,--,--,--,--,--,72.0,68,43,38,7,4,21,60,1.24,.249,https://www.mlb.com/player/462102
Zach Duke,PIT,--,--,6.40,--,--,--,--,--,--,71.2,103,61,51,10,2,25,50,1.79,.336,https://www.mlb.com/player/435043
Justin Masterson,CLE,--,--,4.52,--,--,--,--,--,--,69.2,75,46,35,5,3,27,55,1.46,.282,https://www.mlb.com/player/475416
Joe Saunders,ARI,--,--,5.97,--,--,--,--,--,--,69.1,89,57,46,12,3,34,43,1.77,.318,https://www.mlb.com/player/434578
Mark Buehrle,CWS,--,--,5.71,--,--,--,--,--,--,69.1,86,49,44,6,0,19,32,1.51,.317,https://www.mlb.com/player/279824
Roy Halladay,PHI,--,--,2.74,--,--,--,--,--,--,69.0,66,24,21,10,2,8,59,1.07,.250,https://www.mlb.com/player/136880
Dave Bush,MIL,--,--,4.24,--,--,--,--,--,--,68.0,80,45,32,8,2,27,41,1.57,.294,https://www.mlb.com/player/433657
Tim Wakefield,BOS,--,--,5.35,--,--,--,--,--,--,67.1,73,43,40,6,2,17,42,1.34,.275,https://www.mlb.com/player/123801
Hiroki Kuroda,LAD,--,--,3.82,--,--,--,--,--,--,66.0,59,33,28,7,1,12,59,1.08,.241,https://www.mlb.com/player/493133
Chris Narveson,MIL,--,--,5.07,--,--,--,--,--,--,65.2,65,39,37,9,1,23,54,1.34,.262,https://www.mlb.com/player/429780
Ervin Santana,LAA,--,--,6.47,--,--,--,--,--,--,64.0,85,49,46,10,2,25,64,1.72,.327,https://www.mlb.com/player/429722
Paul Maholm,PIT,--,--,6.61,--,--,--,--,--,--,62.2,86,55,46,3,4,24,40,1.76,.330,https://www.mlb.com/player/430904
Matt Garza,TB,--,--,3.75,--,--,--,--,--,--,62.1,60,29,26,8,5,18,53,1.25,.248,https://www.mlb.com/player/490063
Gavin Floyd,CWS,--,--,5.95,--,--,--,--,--,--,62.0,76,46,41,6,4,24,51,1.61,.308,https://www.mlb.com/player/425856
Max Scherzer,DET,--,--,5.25,--,--,--,--,--,--,61.2,60,38,36,8,1,18,46,1.26,.265,https://www.mlb.com/player/453286
Wandy Rodriguez,HOU,--,--,3.84,--,--,--,--,--,--,61.0,54,29,26,2,3,15,47,1.13,.244,https://www.mlb.com/player/434643
Brian Bannister,KC,--,--,6.93,--,--,--,--,--,--,61.0,71,49,47,9,1,27,35,1.61,.287,https://www.mlb.com/player/446454
Carl Pavano,MIN,--,--,3.84,--,--,--,--,--,--,61.0,56,26,26,6,1,8,36,1.05,.246,https://www.mlb.com/player/134321
Chris Carpenter,STL,--,--,3.84,--,--,--,--,--,--,61.0,53,32,26,6,4,20,53,1.20,.233,https://www.mlb.com/player/112020
C.J. Wilson,TEX,--,--,3.88,--,--,--,--,--,--,60.1,46,31,26,3,2,29,51,1.24,.211,https://www.mlb.com/player/450351
Kyle Davies,KC,--,--,6.67,--,--,--,--,--,--,59.1,71,45,44,7,0,29,36,1.69,.295,https://www.mlb.com/player/434678
Roy Oswalt,PHI,--,--,3.51,--,--,--,--,--,--,59.0,52,25,23,5,3,19,56,1.20,.241,https://www.mlb.com/player/400061
Brian Duensing,MIN,--,--,1.53,--,--,--,--,--,--,58.2,47,13,10,4,2,16,33,1.07,.220,https://www.mlb.com/player/488846
Derek Lowe,ATL,--,--,4.01,--,--,--,--,--,--,58.1,48,27,26,4,0,23,38,1.22,.227,https://www.mlb.com/player/117955
Miguel Batista,WSH,--,--,3.39,--,--,--,--,--,--,58.1,44,24,22,6,3,26,40,1.20,.211,https://www.mlb.com/player/110683
Joe Blanton,PHI,--,--,4.81,--,--,--,--,--,--,58.0,73,36,31,4,2,17,49,1.55,.312,https://www.mlb.com/player/430599
Ramon Pena,CWS,--,--,7.02,--,--,--,--,--,--,57.2,68,50,45,10,1,34,32,1.77,.294,https://www.mlb.com/player/430963
Dallas Braden,OAK,--,--,4.53,--,--,--,--,--,--,57.2,63,34,29,5,2,12,34,1.30,.281,https://www.mlb.com/player/460284
Kyle Kendrick,PHI,--,--,5.31,--,--,--,--,--,--,57.2,65,37,34,8,1,14,26,1.37,.286,https://www.mlb.com/player/452718
Wade Davis,TB,--,--,4.06,--,--,--,--,--,--,57.2,48,26,26,4,2,22,33,1.21,.227,https://www.mlb.com/player/451584
Tim Lincecum,SF,--,--,4.24,--,--,--,--,--,--,57.1,60,29,27,3,3,23,52,1.45,.273,https://www.mlb.com/player/453311
Ryan Rowland-Smith,SEA,--,--,7.38,--,--,--,--,--,--,57.1,75,56,47,15,2,19,28,1.64,.315,https://www.mlb.com/player/434884
Colby Lewis,TEX,--,--,3.77,--,--,--,--,--,--,57.1,48,28,24,5,1,16,51,1.12,.219,https://www.mlb.com/player/407890
Mark Hendrickson,BAL,--,--,3.79,--,--,--,--,--,--,57.0,68,27,24,6,1,15,41,1.46,.300,https://www.mlb.com/player/424805
Cole Hamels,PHI,--,--,3.65,--,--,--,--,--,--,56.2,51,25,23,7,1,13,61,1.13,.241,https://www.mlb.com/player/430935
Scott Feldman,TEX,--,--,4.31,--,--,--,--,--,--,56.1,61,34,27,2,2,15,29,1.35,.281,https://www.mlb.com/player/444857
John Lackey,BOS,--,--,5.46,--,--,--,--,--,--,56.0,61,38,34,4,1,21,43,1.46,.286,https://www.mlb.com/player/407793
Doug Fister,SEA,--,--,5.82,--,--,--,--,--,--,55.2,64,38,36,8,2,11,35,1.35,.286,https://www.mlb.com/player/450729
Anibal Sanchez,FLA,--,--,4.72,--,--,--,--,--,--,55.1,63,35,29,2,3,23,42,1.55,.290,https://www.mlb.com/player/434671
Manny Parra,MIL,--,--,4.72,--,--,--,--,--,--,55.1,51,34,29,8,1,26,62,1.39,.241,https://www.mlb.com/player/448159
Johnny Cueto,CIN,--,--,3.62,--,--,--,--,--,--,54.2,47,25,22,8,3,10,37,1.04,.240,https://www.mlb.com/player/456501
Jason Hammel,COL,--,--,5.93,--,--,--,--,--,--,54.2,64,36,36,3,2,16,47,1.46,.309,https://www.mlb.com/player/434628
Matt Albers,BAL,--,--,3.31,--,--,--,--,--,--,54.1,51,21,20,3,2,22,35,1.34,.250,https://www.mlb.com/player/458006
Jason Vargas,SEA,--,--,4.97,--,--,--,--,--,--,54.1,50,31,30,2,0,18,33,1.25,.242,https://www.mlb.com/player/450306
David Price,TB,--,--,2.98,--,--,--,--,--,--,54.1,44,19,18,6,2,16,45,1.10,.226,https://www.mlb.com/player/456034
D.J. Carrasco,ARI,--,--,3.50,--,--,--,--,--,--,54.0,48,27,21,5,2,23,46,1.31,.241,https://www.mlb.com/player/425647
Brad Thomas,DET,--,--,3.67,--,--,--,--,--,--,54.0,61,22,22,2,4,22,25,1.54,.296,https://www.mlb.com/player/346801
Blake Hawksworth,STL,--,--,4.53,--,--,--,--,--,--,53.2,58,28,27,8,1,17,35,1.40,.287,https://www.mlb.com/player/458003
