name,team,W,L,ERA,G,GS,CG,SHO,SV,SVO,IP,H,R,ER,HR,HB,BB,SO,WHIP,AVG,url
Edwin Jackson,STL,--,--,6.02,--,--,--,--,--,--,113.2,91,84,76,8,1,30,79,1.06,.239,https://www.mlb.com/player/429719
Carl Pavano,MIN,--,--,7.60,--,--,--,--,--,--,109.0,107,109,92,9,5,17,45,1.14,.273,https://www.mlb.com/player/134321
Felix Hernandez,SEA,--,--,6.79,--,--,--,--,--,--,107.1,94,90,81,10,4,37,92,1.22,.256,https://www.mlb.com/player/433587
Chris Carpenter,STL,--,--,6.88,--,--,--,--,--,--,107.1,103,89,82,7,3,23,80,1.17,.269,https://www.mlb.com/player/112020
CC Sabathia,NYY,--,--,5.81,--,--,--,--,--,--,105.1,95,76,68,6,2,31,94,1.20,.260,https://www.mlb.com/player/282332
Roy Halladay,PHI,--,--,4.44,--,--,--,--,--,--,105.1,78,56,52,1,1,16,90,0.89,.220,https://www.mlb.com/player/136880
Justin Masterson,CLE,--,--,6.07,--,--,--,--,--,--,102.1,90,81,69,3,6,27,67,1.14,.254,https://www.mlb.com/player/475416
C.J. Wilson,TEX,--,--,5.38,--,--,--,--,--,--,102.0,79,77,61,4,2,31,74,1.08,.232,https://www.mlb.com/player/450351
Tim Lincecum,SF,--,--,5.06,--,--,--,--,--,--,101.1,61,65,57,6,4,35,93,0.95,.184,https://www.mlb.com/player/453311
Ricky Romero,TOR,--,--,4.99,--,--,--,--,--,--,101.0,62,68,56,9,5,29,71,0.90,.191,https://www.mlb.com/player/460069
Daniel Hudson,ARI,--,--,6.71,--,--,--,--,--,--,100.2,90,87,75,6,6,26,66,1.15,.256,https://www.mlb.com/player/543339
Randy Wolf,MIL,--,--,6.62,--,--,--,--,--,--,100.2,84,82,74,10,6,39,54,1.22,.249,https://www.mlb.com/player/150116
Cliff Lee,PHI,--,--,4.68,--,--,--,--,--,--,100.0,68,56,52,8,2,14,99,0.82,.205,https://www.mlb.com/player/424324
R.A. Dickey,NYM,--,--,5.91,--,--,--,--,--,--,99.0,79,74,65,7,4,29,55,1.09,.242,https://www.mlb.com/player/285079
James Shields,TB,--,--,5.45,--,--,--,--,--,--,99.0,66,65,60,8,1,20,81,0.87,.213,https://www.mlb.com/player/448306
Brett Myers,HOU,--,--,8.30,--,--,--,--,--,--,98.2,97,100,91,15,1,26,69,1.25,.273,https://www.mlb.com/player/408206
Ervin Santana,LAA,--,--,6.54,--,--,--,--,--,--,97.2,87,80,71,11,1,31,74,1.21,.257,https://www.mlb.com/player/429722
Jaime Garcia,STL,--,--,6.70,--,--,--,--,--,--,96.2,86,95,72,10,0,25,73,1.15,.255,https://www.mlb.com/player/448802
Max Scherzer,DET,--,--,7.50,--,--,--,--,--,--,96.0,76,85,80,14,3,22,87,1.02,.231,https://www.mlb.com/player/453286
Ricky Nolasco,FLA,--,--,9.16,--,--,--,--,--,--,95.1,104,107,97,10,1,27,57,1.37,.295,https://www.mlb.com/player/445060
Gio Gonzalez,OAK,--,--,5.40,--,--,--,--,--,--,95.0,72,68,57,4,6,39,93,1.17,.218,https://www.mlb.com/player/461829
Charlie Morton,PIT,--,--,6.49,--,--,--,--,--,--,94.1,87,77,68,1,6,42,56,1.37,.269,https://www.mlb.com/player/450203
Derek Holland,TEX,--,--,7.45,--,--,--,--,--,--,93.0,89,87,77,12,0,19,68,1.16,.266,https://www.mlb.com/player/502706
Ryan Dempster,CHC,--,--,9.55,--,--,--,--,--,--,92.1,88,101,98,13,2,42,84,1.41,.272,https://www.mlb.com/player/133225
Mark Buehrle,CWS,--,--,7.12,--,--,--,--,--,--,92.1,85,84,73,12,0,21,48,1.15,.266,https://www.mlb.com/player/279824
Jered Weaver,LAA,--,--,4.71,--,--,--,--,--,--,91.2,58,50,48,5,1,25,73,0.91,.195,https://www.mlb.com/player/450308
Trevor Cahill,OAK,--,--,8.35,--,--,--,--,--,--,91.2,92,91,85,8,3,44,57,1.48,.283,https://www.mlb.com/player/502239
David Price,TB,--,--,7.07,--,--,--,--,--,--,91.2,71,78,72,7,5,31,90,1.11,.225,https://www.mlb.com/player/456034
Doug Fister,DET,--,--,5.86,--,--,--,--,--,--,90.2,82,67,59,2,6,17,46,1.09,.258,https://www.mlb.com/player/450729
A.J. Burnett,NYY,--,--,9.33,--,--,--,--,--,--,90.2,76,100,94,16,5,38,79,1.26,.247,https://www.mlb.com/player/150359
Tim Hudson,ATL,--,--,6.97,--,--,--,--,--,--,90.1,78,79,70,7,10,26,62,1.15,.251,https://www.mlb.com/player/218596
Derek Lowe,ATL,--,--,9.80,--,--,--,--,--,--,90.0,107,103,98,7,1,33,51,1.56,.313,https://www.mlb.com/player/117955
Jason Vargas,SEA,--,--,8.10,--,--,--,--,--,--,90.0,91,91,81,8,2,21,62,1.24,.272,https://www.mlb.com/player/450306
Ian Kennedy,ARI,--,--,5.82,--,--,--,--,--,--,89.2,65,60,58,6,8,33,79,1.09,.217,https://www.mlb.com/player/453178
Matt Garza,CHC,--,--,6.62,--,--,--,--,--,--,89.2,76,83,66,7,1,33,85,1.22,.237,https://www.mlb.com/player/490063
Clayton Kershaw,LAD,--,--,5.02,--,--,--,--,--,--,89.2,56,57,50,6,0,28,94,0.94,.196,https://www.mlb.com/player/477132
