name,team,W,L,ERA,G,GS,CG,SHO,SV,SVO,IP,H,R,ER,HR,HB,BB,SO,WHIP,AVG,url
Dominic Leone,STL,--,--,0.00,--,--,--,--,--,--,3.1,2,0,0,0,0,2,7,1.20,.167,https://www.mlb.com/player/608678
Tayron Guerrero,MIA,--,--,6.75,--,--,--,--,--,--,8.0,10,7,6,0,0,8,12,2.25,.294,https://www.mlb.com/player/594027
Justin Grimm,SEA,--,--,18.00,--,--,--,--,--,--,1.0,0,2,2,0,0,7,0,7.00,.000,https://www.mlb.com/player/518748
Rex Brothers,ATL,--,--,-.--,--,--,--,--,--,--,0.0,0,0,0,0,0,1,0,-.--,.000,https://www.mlb.com/player/571521
Erick Fedde,WSH,--,--,5.00,--,--,--,--,--,--,9.0,7,5,5,1,0,9,12,1.78,.206,https://www.mlb.com/player/607200
Sean Gilmartin,BAL,--,--,0.00,--,--,--,--,--,--,1.2,2,0,0,0,0,3,1,3.00,.286,https://www.mlb.com/player/543219
Mitch Garver,MIN,--,--,-.--,--,--,--,--,--,--,0.0,1,0,0,0,0,0,0,-.--,1.000,https://www.mlb.com/player/641598
Mike Minor,TEX,--,--,3.20,--,--,--,--,--,--,19.2,12,7,7,3,0,18,22,1.53,.179,https://www.mlb.com/player/501985
Taylor Cole,LAA,--,--,0.00,--,--,--,--,--,--,5.1,2,0,0,0,1,10,13,2.25,.111,https://www.mlb.com/player/518566
James Sherfy,ARI,--,--,0.00,--,--,--,--,--,--,1.2,0,0,0,0,0,5,2,3.00,.000,https://www.mlb.com/player/642073
Joe Smith,HOU,--,--,0.00,--,--,--,--,--,--,3.2,1,0,0,0,0,4,6,1.36,.083,https://www.mlb.com/player/501925
Trevor Richards,MIA,--,--,4.60,--,--,--,--,--,--,15.2,17,9,8,2,0,28,26,2.87,.262,https://www.mlb.com/player/670950
Chad Sobotka,ATL,--,--,13.50,--,--,--,--,--,--,1.1,1,2,2,1,0,5,2,4.50,.200,https://www.mlb.com/player/656977
