name,team,W,L,ERA,G,GS,CG,SHO,SV,SVO,IP,H,R,ER,HR,HB,BB,SO,WHIP,AVG,url
Ty Blach,SF,--,--,11.81,--,--,--,--,--,--,5.1,4,8,7,0,0,0,3,0.75,.235,https://www.mlb.com/player/621389
Charlie Culberson,ATL,--,--,-.--,--,--,--,--,--,--,0.0,0,0,0,0,0,0,0,-,.000,https://www.mlb.com/player/518586
Ryan Pressly,HOU,--,--,0.00,--,--,--,--,--,--,3.1,1,0,0,0,0,1,6,0.60,.091,https://www.mlb.com/player/519151
Shane Bieber,CLE,--,--,54.00,--,--,--,--,--,--,0.1,1,2,2,0,0,0,1,3.00,.500,https://www.mlb.com/player/669456
Roberto Osuna,HOU,--,--,13.50,--,--,--,--,--,--,0.2,1,1,1,0,0,0,0,1.50,.500,https://www.mlb.com/player/532077
Jameson Taillon,PIT,--,--,36.00,--,--,--,--,--,--,2.0,2,8,8,1,0,0,4,1.00,.250,https://www.mlb.com/player/592791
Dereck Rodriguez,SF,--,--,18.00,--,--,--,--,--,--,2.0,2,6,4,0,0,0,2,1.00,.286,https://www.mlb.com/player/605446
James Sherfy,ARI,--,--,0.00,--,--,--,--,--,--,2.2,0,0,0,0,0,0,2,0.00,.000,https://www.mlb.com/player/642073
Mike Zagurski,MIL,--,--,-.--,--,--,--,--,--,--,0.0,1,5,5,0,0,0,0,-.--,1.000,https://www.mlb.com/player/489448
Keone Kela,PIT,--,--,36.00,--,--,--,--,--,--,1.0,3,4,4,1,0,0,2,3.00,.500,https://www.mlb.com/player/605309
Luis Cessa,NYY,--,--,13.50,--,--,--,--,--,--,1.1,0,2,2,0,0,0,3,0.00,.000,https://www.mlb.com/player/570666
Kyle Barraclough,WSH,--,--,24.30,--,--,--,--,--,--,3.1,1,9,9,1,0,1,7,0.60,.091,https://www.mlb.com/player/607457
Trevor Cahill,OAK,--,--,33.75,--,--,--,--,--,--,1.1,2,5,5,0,0,1,2,2.25,.400,https://www.mlb.com/player/502239
Daniel Corcino,LAD,--,--,0.00,--,--,--,--,--,--,0.1,0,0,0,0,0,0,0,0.00,.000,https://www.mlb.com/player/542289
Justin Anderson,LAA,--,--,30.86,--,--,--,--,--,--,2.1,1,8,8,0,0,1,4,0.86,.125,https://www.mlb.com/player/605121
Aaron Loup,PHI,--,--,54.00,--,--,--,--,--,--,0.1,0,4,2,0,0,0,0,0.00,.000,https://www.mlb.com/player/571901
Erasmo Ramirez,SEA,--,--,10.13,--,--,--,--,--,--,2.2,0,3,3,0,0,1,2,0.38,.000,https://www.mlb.com/player/541640
Archie Bradley,ARI,--,--,54.00,--,--,--,--,--,--,1.1,2,8,8,1,0,1,2,2.25,.333,https://www.mlb.com/player/605151
David Price,BOS,--,--,16.20,--,--,--,--,--,--,3.1,0,8,6,0,1,2,4,0.60,.000,https://www.mlb.com/player/456034
Chasen Bradford,SEA,--,--,21.60,--,--,--,--,--,--,1.2,1,5,4,1,0,1,2,1.20,.167,https://www.mlb.com/player/607473
Adalberto Mejia,MIN,--,--,40.50,--,--,--,--,--,--,0.2,2,3,3,0,0,0,1,3.00,.500,https://www.mlb.com/player/606167
Adam Liberatore,LAD,--,--,0.00,--,--,--,--,--,--,0.1,0,0,0,0,0,0,0,0.00,.000,https://www.mlb.com/player/571893
Jake Faria,TB,--,--,108.00,--,--,--,--,--,--,1.0,1,12,12,1,0,0,0,1.00,.500,https://www.mlb.com/player/607188
Nick Kingham,PIT,--,--,31.50,--,--,--,--,--,--,2.0,1,8,7,1,1,0,1,0.50,.167,https://www.mlb.com/player/592468
Tyler Chatwood,CHC,--,--,21.21,--,--,--,--,--,--,4.2,3,11,11,0,0,0,5,0.64,.214,https://www.mlb.com/player/543022
