team,league,W,L,ERA,G,GS,CG,SHO,SV,SVO,IP,H,R,ER,HR,HB,BB,SO,WHIP,AVG,url
San Francisco Giants,NL,--,--,2.17,--,--,--,--,--,0,589.2,395,158,142,28,25,0,757,0.67,.187,https://www.mlb.com/giants
St. Louis Cardinals,NL,--,--,2.30,--,--,--,--,--,0,517.0,356,143,132,21,17,0,634,0.69,.193,https://www.mlb.com/cardinals
Houston Astros,AL,--,--,2.30,--,--,--,--,--,0,527.2,393,153,135,25,18,0,677,0.74,.205,https://www.mlb.com/astros
Tampa Bay Rays,AL,--,--,2.31,--,--,--,--,--,0,544.1,399,153,140,33,16,0,721,0.73,.200,https://www.mlb.com/rays
San Diego Padres,NL,--,--,2.35,--,--,--,--,--,0,544.2,366,149,142,31,18,0,690,0.67,.189,https://www.mlb.com/padres
Oakland Athletics,AL,--,--,2.38,--,--,--,--,--,0,511.0,345,148,135,32,19,0,588,0.68,.190,https://www.mlb.com/athletics
Philadelphia Phillies,NL,--,--,2.38,--,--,--,--,--,0,543.2,396,160,144,39,21,0,664,0.73,.202,https://www.mlb.com/phillies
New York Mets,NL,--,--,2.38,--,--,--,--,--,0,536.0,426,155,142,34,19,0,603,0.79,.218,https://www.mlb.com/mets
Atlanta Braves,NL,--,--,2.39,--,--,--,--,--,0,518.2,343,153,138,31,21,0,701,0.66,.187,https://www.mlb.com/braves
Texas Rangers,AL,--,--,2.49,--,--,--,--,--,0,524.0,397,163,145,37,33,0,640,0.76,.205,https://www.mlb.com/rangers
New York Yankees,AL,--,--,2.52,--,--,--,--,--,0,497.1,375,153,139,38,30,0,611,0.75,.208,https://www.mlb.com/yankees
Washington Nationals,NL,--,--,2.52,--,--,--,--,--,0,504.1,380,164,141,31,16,0,579,0.75,.207,https://www.mlb.com/nationals
Boston Red Sox,AL,--,--,2.60,--,--,--,--,--,0,533.2,365,171,154,27,24,0,634,0.68,.191,https://www.mlb.com/redsox
Los Angeles Angels,AL,--,--,2.62,--,--,--,--,--,0,488.1,385,154,142,27,20,0,565,0.79,.216,https://www.mlb.com/angels
Cincinnati Reds,NL,--,--,2.70,--,--,--,--,--,0,533.0,390,166,160,37,22,0,600,0.73,.204,https://www.mlb.com/reds
Toronto Blue Jays,AL,--,--,2.76,--,--,--,--,--,0,495.2,351,174,152,34,26,0,613,0.71,.197,https://www.mlb.com/bluejays
Seattle Mariners,AL,--,--,2.77,--,--,--,--,--,0,535.2,386,177,165,27,16,0,588,0.72,.200,https://www.mlb.com/mariners
Detroit Tigers,AL,--,--,2.77,--,--,--,--,--,0,532.1,400,171,164,28,27,0,609,0.75,.210,https://www.mlb.com/tigers
Minnesota Twins,AL,--,--,2.85,--,--,--,--,--,0,569.1,465,185,180,40,15,0,619,0.82,.222,https://www.mlb.com/twins
Los Angeles Dodgers,NL,--,--,2.85,--,--,--,--,--,0,556.0,388,189,176,28,26,0,766,0.70,.193,https://www.mlb.com/dodgers
Colorado Rockies,NL,--,--,2.86,--,--,--,--,--,0,519.0,392,182,165,32,30,0,661,0.76,.209,https://www.mlb.com/rockies
Miami Marlins,NL,--,--,2.88,--,--,--,--,--,0,537.0,406,199,172,32,19,0,652,0.76,.209,https://www.mlb.com/marlins
Chicago White Sox,AL,--,--,2.92,--,--,--,--,--,0,518.2,404,179,168,26,15,0,582,0.78,.213,https://www.mlb.com/whitesox
Milwaukee Brewers,NL,--,--,3.06,--,--,--,--,--,0,515.1,394,199,175,35,24,0,649,0.76,.208,https://www.mlb.com/brewers
Chicago Cubs,NL,--,--,3.06,--,--,--,--,--,0,529.0,425,201,180,37,28,0,708,0.80,.217,https://www.mlb.com/cubs
Cleveland Indians,AL,--,--,3.11,--,--,--,--,--,0,497.0,399,191,172,31,24,0,503,0.80,.220,https://www.mlb.com/indians
Baltimore Orioles,AL,--,--,3.16,--,--,--,--,--,0,487.1,398,185,171,35,25,0,530,0.82,.220,https://www.mlb.com/orioles
Pittsburgh Pirates,NL,--,--,3.40,--,--,--,--,--,0,495.2,410,208,187,33,22,0,573,0.83,.223,https://www.mlb.com/pirates
Arizona Diamondbacks,NL,--,--,3.45,--,--,--,--,--,0,511.1,415,206,196,47,20,0,602,0.81,.220,https://www.mlb.com/dbacks
Kansas City Royals,AL,--,--,3.49,--,--,--,--,--,0,458.2,389,191,178,37,18,0,535,0.85,.227,https://www.mlb.com/royals
