team,league,W,L,ERA,G,GS,CG,SHO,SV,SVO,IP,H,R,ER,HR,HB,BB,SO,WHIP,AVG,url
Cincinnati Reds,NL,47,34,3.18,81,81,6,2,32,43,714.0,657,278,252,56,24,222,612,1.23,.244,https://www.mlb.com/reds
Washington Nationals,NL,48,33,3.40,81,81,1,0,26,34,710.1,615,291,268,65,29,265,651,1.24,.233,https://www.mlb.com/nationals
Atlanta Braves,NL,46,35,3.44,81,81,2,2,26,30,708.1,632,289,271,78,25,245,584,1.24,.241,https://www.mlb.com/braves
Tampa Bay Rays,AL,44,37,3.60,81,81,3,1,23,27,706.2,630,312,283,84,24,246,623,1.24,.238,https://www.mlb.com/rays
Chicago White Sox,AL,40,41,3.61,81,81,3,2,18,29,708.2,654,297,284,78,28,228,602,1.24,.245,https://www.mlb.com/whitesox
Arizona Diamondbacks,NL,40,41,3.63,81,81,3,2,20,34,698.2,665,312,282,65,26,210,582,1.25,.252,https://www.mlb.com/dbacks
Baltimore Orioles,AL,46,35,3.64,81,81,1,1,31,39,732.0,667,327,296,85,24,236,563,1.23,.241,https://www.mlb.com/orioles
Philadelphia Phillies,NL,41,40,3.75,81,81,4,3,23,33,711.1,697,333,296,85,24,191,656,1.25,.255,https://www.mlb.com/phillies
Texas Rangers,AL,43,38,3.86,81,81,6,2,22,26,701.0,636,333,301,81,22,224,601,1.23,.240,https://www.mlb.com/rangers
Los Angeles Dodgers,NL,41,40,3.88,81,81,1,1,23,29,706.2,660,329,305,55,20,282,603,1.33,.248,https://www.mlb.com/dodgers
Oakland Athletics,AL,44,37,3.95,81,81,0,0,25,35,706.1,708,332,310,81,26,241,567,1.34,.261,https://www.mlb.com/athletics
Detroit Tigers,AL,38,43,4.05,81,81,4,0,22,29,691.2,698,341,311,84,15,222,634,1.33,.261,https://www.mlb.com/tigers
New York Yankees,AL,44,37,4.05,81,81,2,0,25,31,706.1,733,341,318,96,24,208,646,1.33,.266,https://www.mlb.com/yankees
Miami Marlins,NL,31,50,4.14,81,81,4,2,18,32,700.2,722,361,322,75,32,254,538,1.39,.268,https://www.mlb.com/marlins
New York Mets,NL,38,43,4.17,81,81,2,1,20,34,699.0,702,362,324,73,21,251,598,1.36,.261,https://www.mlb.com/mets
St. Louis Cardinals,NL,38,43,4.18,81,81,1,0,19,30,703.2,708,351,327,70,21,219,572,1.32,.262,https://www.mlb.com/cardinals
Milwaukee Brewers,NL,34,47,4.21,81,81,0,0,23,36,707.2,733,357,331,58,10,268,630,1.41,.269,https://www.mlb.com/brewers
San Francisco Giants,NL,46,35,4.29,81,81,1,1,29,37,709.0,718,377,338,89,30,244,614,1.36,.262,https://www.mlb.com/giants
Kansas City Royals,AL,35,46,4.33,81,81,1,0,22,29,702.1,747,364,338,76,38,274,584,1.45,.276,https://www.mlb.com/royals
Colorado Rockies,NL,29,52,4.41,81,81,0,0,22,36,688.0,728,367,337,80,17,297,570,1.49,.273,https://www.mlb.com/rockies
Seattle Mariners,AL,35,46,4.59,81,81,5,3,19,29,713.2,730,391,364,106,28,239,550,1.36,.266,https://www.mlb.com/mariners
Los Angeles Angels,AL,43,38,4.62,81,81,2,2,21,38,703.1,701,390,361,107,21,271,525,1.38,.259,https://www.mlb.com/angels
Boston Red Sox,AL,35,46,4.65,81,81,4,1,23,35,696.1,667,383,360,93,39,271,577,1.35,.253,https://www.mlb.com/redsox
San Diego Padres,NL,34,47,4.73,81,81,2,1,21,30,690.2,684,392,363,100,25,267,556,1.38,.257,https://www.mlb.com/padres
Pittsburgh Pirates,NL,34,47,4.78,81,81,1,1,22,28,700.1,721,397,372,95,21,283,617,1.43,.263,https://www.mlb.com/pirates
Minnesota Twins,AL,35,46,4.79,81,81,1,0,25,32,700.2,772,415,373,100,29,234,442,1.44,.281,https://www.mlb.com/twins
Toronto Blue Jays,AL,32,49,4.79,81,81,4,3,12,19,709.2,711,399,378,102,22,318,555,1.45,.263,https://www.mlb.com/bluejays
Chicago Cubs,NL,23,58,4.99,81,81,1,0,9,20,678.1,712,397,376,87,29,278,532,1.46,.271,https://www.mlb.com/cubs
Houston Astros,AL,20,61,5.39,81,81,1,1,14,21,683.1,767,439,409,94,23,289,542,1.55,.285,https://www.mlb.com/astros
Cleveland Indians,AL,31,50,5.52,81,81,1,1,21,27,685.0,755,452,420,89,33,277,491,1.51,.281,https://www.mlb.com/indians
