team,league,W,L,ERA,G,GS,CG,SHO,SV,SVO,IP,H,R,ER,HR,HB,BB,SO,WHIP,AVG,url
Kansas City Royals,AL,--,--,3.17,--,--,--,--,--,0,547.2,493,210,193,53,13,0,376,0.90,.241,https://www.mlb.com/royals
Pittsburgh Pirates,NL,--,--,3.19,--,--,--,--,--,0,527.1,505,211,187,35,32,0,350,0.96,.254,https://www.mlb.com/pirates
Atlanta Braves,NL,--,--,3.44,--,--,--,--,--,0,524.0,491,211,200,56,19,0,338,0.94,.250,https://www.mlb.com/braves
Los Angeles Dodgers,NL,--,--,3.50,--,--,--,--,--,0,521.2,515,229,203,42,19,0,357,0.99,.261,https://www.mlb.com/dodgers
Oakland Athletics,AL,--,--,3.64,--,--,--,--,--,0,522.0,504,230,211,55,11,0,325,0.97,.254,https://www.mlb.com/athletics
Cincinnati Reds,NL,--,--,3.72,--,--,--,--,--,0,536.2,536,234,222,70,26,0,389,1.00,.264,https://www.mlb.com/reds
Washington Nationals,NL,--,--,3.72,--,--,--,--,--,0,519.2,528,243,215,55,24,0,361,1.02,.263,https://www.mlb.com/nationals
Texas Rangers,AL,--,--,3.75,--,--,--,--,--,0,530.2,507,238,221,55,21,0,395,0.96,.253,https://www.mlb.com/rangers
New York Mets,NL,--,--,3.84,--,--,--,--,--,0,527.1,568,251,225,51,26,0,358,1.08,.278,https://www.mlb.com/mets
Detroit Tigers,AL,--,--,3.93,--,--,--,--,--,0,522.2,509,243,228,44,17,0,418,0.97,.257,https://www.mlb.com/tigers
San Diego Padres,NL,--,--,3.94,--,--,--,--,--,0,525.1,526,244,230,56,17,0,328,1.00,.269,https://www.mlb.com/padres
St. Louis Cardinals,NL,--,--,3.95,--,--,--,--,--,0,505.1,539,233,222,42,33,0,331,1.07,.276,https://www.mlb.com/cardinals
New York Yankees,AL,--,--,3.96,--,--,--,--,--,0,520.0,564,246,229,75,14,1,364,1.09,.277,https://www.mlb.com/yankees
Tampa Bay Rays,AL,--,--,4.08,--,--,--,--,--,0,512.1,486,246,232,63,18,0,395,0.95,.251,https://www.mlb.com/rays
Boston Red Sox,AL,--,--,4.11,--,--,--,--,--,0,515.0,528,251,235,61,18,0,381,1.03,.266,https://www.mlb.com/redsox
Toronto Blue Jays,AL,--,--,4.20,--,--,--,--,--,0,505.1,527,262,236,66,28,0,366,1.04,.269,https://www.mlb.com/bluejays
Arizona Diamondbacks,NL,--,--,4.22,--,--,--,--,--,0,537.1,573,270,252,59,26,0,352,1.07,.276,https://www.mlb.com/dbacks
Miami Marlins,NL,--,--,4.26,--,--,--,--,--,0,528.1,542,268,250,50,17,0,317,1.03,.270,https://www.mlb.com/marlins
Milwaukee Brewers,NL,--,--,4.26,--,--,--,--,--,0,515.0,555,274,244,64,20,0,333,1.08,.279,https://www.mlb.com/brewers
San Francisco Giants,NL,--,--,4.34,--,--,--,--,--,0,526.2,516,268,254,56,19,0,391,0.98,.260,https://www.mlb.com/giants
Minnesota Twins,AL,--,--,4.39,--,--,--,--,--,0,512.0,582,265,250,47,21,0,304,1.14,.289,https://www.mlb.com/twins
Cleveland Indians,AL,--,--,4.43,--,--,--,--,--,0,485.2,544,260,239,57,21,0,389,1.12,.286,https://www.mlb.com/indians
Chicago Cubs,NL,--,--,4.44,--,--,--,--,--,0,541.1,529,290,267,71,19,0,359,0.98,.260,https://www.mlb.com/cubs
Philadelphia Phillies,NL,--,--,4.44,--,--,--,--,--,0,527.0,585,280,260,62,28,0,347,1.11,.283,https://www.mlb.com/phillies
Baltimore Orioles,AL,--,--,4.63,--,--,--,--,--,0,515.1,541,272,265,82,21,0,332,1.05,.275,https://www.mlb.com/orioles
Chicago White Sox,AL,--,--,4.72,--,--,--,--,--,0,528.0,578,300,277,82,13,0,359,1.09,.282,https://www.mlb.com/whitesox
Houston Astros,AL,--,--,4.82,--,--,--,--,--,0,522.2,573,312,280,68,30,0,328,1.10,.281,https://www.mlb.com/astros
Colorado Rockies,NL,--,--,4.84,--,--,--,--,--,0,537.2,595,307,289,58,20,0,316,1.11,.285,https://www.mlb.com/rockies
Los Angeles Angels,AL,--,--,4.93,--,--,--,--,--,0,515.0,592,306,282,67,11,0,352,1.15,.289,https://www.mlb.com/angels
Seattle Mariners,AL,--,--,5.15,--,--,--,--,--,0,503.1,581,307,288,72,19,0,375,1.15,.288,https://www.mlb.com/mariners
