team,league,W,L,ERA,G,GS,CG,SHO,SV,SVO,IP,H,R,ER,HR,HB,BB,SO,WHIP,AVG,url
Kansas City Royals,AL,--,--,4.01,--,--,--,--,--,0,401.2,461,207,179,50,7,440,196,2.24,.289,https://www.mlb.com/royals
Los Angeles Angels,AL,--,--,4.29,--,--,--,--,--,0,420.0,397,215,200,45,9,504,247,2.15,.250,https://www.mlb.com/angels
Seattle Mariners,AL,--,--,4.46,--,--,--,--,--,0,367.2,410,204,182,48,9,463,192,2.37,.282,https://www.mlb.com/mariners
Atlanta Braves,NL,--,--,4.49,--,--,--,--,--,0,385.0,443,214,192,49,6,472,185,2.38,.291,https://www.mlb.com/braves
Cincinnati Reds,NL,--,--,4.56,--,--,--,--,--,0,392.2,428,210,199,54,14,507,188,2.38,.277,https://www.mlb.com/reds
Oakland Athletics,AL,--,--,4.65,--,--,--,--,--,0,369.1,389,208,191,55,11,406,177,2.15,.271,https://www.mlb.com/athletics
Milwaukee Brewers,NL,--,--,4.73,--,--,--,--,--,0,412.2,460,243,217,69,3,431,193,2.16,.283,https://www.mlb.com/brewers
Los Angeles Dodgers,NL,--,--,4.74,--,--,--,--,--,0,389.1,464,229,205,52,7,429,197,2.29,.296,https://www.mlb.com/dodgers
Baltimore Orioles,AL,--,--,4.77,--,--,--,--,--,0,399.2,431,223,212,60,17,472,192,2.26,.276,https://www.mlb.com/orioles
St. Louis Cardinals,NL,--,--,4.81,--,--,--,--,--,0,354.0,387,194,189,45,13,470,162,2.42,.279,https://www.mlb.com/cardinals
San Francisco Giants,NL,--,--,4.83,--,--,--,--,--,0,365.1,418,215,196,49,6,389,167,2.21,.290,https://www.mlb.com/giants
San Diego Padres,NL,--,--,4.83,--,--,--,--,--,0,363.0,398,215,195,47,4,462,227,2.37,.277,https://www.mlb.com/padres
Tampa Bay Rays,AL,--,--,4.90,--,--,--,--,--,0,376.1,369,221,205,56,12,482,251,2.26,.254,https://www.mlb.com/rays
Pittsburgh Pirates,NL,--,--,4.91,--,--,--,--,--,0,357.1,428,214,195,47,11,499,150,2.59,.299,https://www.mlb.com/pirates
New York Mets,NL,--,--,4.96,--,--,--,--,--,0,381.1,459,225,210,61,9,509,198,2.54,.298,https://www.mlb.com/mets
Washington Nationals,NL,--,--,5.01,--,--,--,--,--,0,352.1,437,209,196,44,9,352,165,2.24,.304,https://www.mlb.com/nationals
Cleveland Indians,AL,--,--,5.08,--,--,--,--,--,0,365.0,454,236,206,56,11,464,207,2.52,.304,https://www.mlb.com/indians
Chicago Cubs,NL,--,--,5.22,--,--,--,--,--,0,396.2,459,248,230,45,7,504,204,2.43,.288,https://www.mlb.com/cubs
New York Yankees,AL,--,--,5.24,--,--,--,--,--,0,369.0,425,229,215,61,10,398,193,2.23,.287,https://www.mlb.com/yankees
Philadelphia Phillies,NL,--,--,5.30,--,--,--,--,--,0,385.1,465,248,227,51,5,521,192,2.56,.299,https://www.mlb.com/phillies
Miami Marlins,NL,--,--,5.47,--,--,--,--,--,0,389.2,503,258,237,55,8,458,161,2.47,.316,https://www.mlb.com/marlins
Boston Red Sox,AL,--,--,5.57,--,--,--,--,--,0,370.1,477,259,229,59,5,482,190,2.59,.312,https://www.mlb.com/redsox
Texas Rangers,AL,--,--,5.61,--,--,--,--,--,0,410.1,513,281,256,66,10,505,173,2.48,.311,https://www.mlb.com/rangers
Houston Astros,AL,--,--,5.99,--,--,--,--,--,0,386.0,461,284,257,54,9,484,166,2.45,.296,https://www.mlb.com/astros
Toronto Blue Jays,AL,--,--,6.18,--,--,--,--,--,0,380.0,446,276,261,76,7,490,187,2.46,.292,https://www.mlb.com/bluejays
Chicago White Sox,AL,--,--,6.18,--,--,--,--,--,0,396.0,472,297,272,57,14,557,193,2.60,.298,https://www.mlb.com/whitesox
Minnesota Twins,AL,--,--,6.22,--,--,--,--,--,0,398.0,510,288,275,65,8,408,150,2.31,.314,https://www.mlb.com/twins
Detroit Tigers,AL,--,--,6.47,--,--,--,--,--,0,367.0,457,284,264,59,7,462,208,2.50,.305,https://www.mlb.com/tigers
Arizona Diamondbacks,NL,--,--,6.54,--,--,--,--,--,0,344.0,438,266,250,59,10,469,184,2.64,.314,https://www.mlb.com/dbacks
Colorado Rockies,NL,--,--,6.66,--,--,--,--,--,0,404.1,537,318,299,75,6,530,202,2.64,.322,https://www.mlb.com/rockies
