team,league,W,L,ERA,G,GS,CG,SHO,SV,SVO,IP,H,R,ER,HR,HB,BB,SO,WHIP,AVG,url
Los Angeles Dodgers,NL,75,45,3.40,120,120,3,1,34,57,1070.0,883,448,404,142,48,300,1118,1.11,.221,https://www.mlb.com/dodgers
Houston Astros,AL,78,40,3.47,118,118,1,0,38,48,1064.0,833,441,410,167,28,335,1206,1.10,.212,https://www.mlb.com/astros
Tampa Bay Rays,AL,59,37,3.62,96,96,0,0,27,47,873.1,754,389,351,106,38,246,943,1.15,.229,https://www.mlb.com/rays
Cleveland Indians,AL,59,43,3.83,102,102,2,2,25,37,912.1,850,418,388,134,41,298,914,1.26,.245,https://www.mlb.com/indians
Oakland Athletics,AL,62,41,3.91,103,103,1,1,30,49,929.2,842,423,404,129,35,289,801,1.22,.240,https://www.mlb.com/athletics
Cincinnati Reds,NL,53,47,3.93,100,100,0,0,33,47,896.2,778,414,392,129,37,341,968,1.25,.233,https://www.mlb.com/reds
St. Louis Cardinals,NL,55,51,4.02,106,106,1,1,25,37,946.2,868,457,423,130,43,355,922,1.29,.243,https://www.mlb.com/cardinals
Washington Nationals,NL,55,45,4.25,100,100,0,0,27,44,885.0,812,444,418,128,35,327,930,1.29,.241,https://www.mlb.com/nationals
Atlanta Braves,NL,74,49,4.26,123,123,1,0,27,42,1093.2,1047,560,518,151,54,435,1045,1.36,.251,https://www.mlb.com/braves
Arizona Diamondbacks,NL,58,49,4.30,107,107,0,0,33,44,966.2,930,496,462,141,33,339,941,1.31,.253,https://www.mlb.com/dbacks
Minnesota Twins,AL,67,37,4.34,104,104,1,0,34,46,938.0,943,501,452,134,36,287,894,1.31,.260,https://www.mlb.com/twins
San Francisco Giants,NL,52,48,4.36,100,100,0,0,25,43,920.2,876,483,446,146,38,329,854,1.31,.249,https://www.mlb.com/giants
New York Mets,NL,58,53,4.42,111,111,2,2,28,47,1007.0,1009,520,495,139,42,348,1060,1.35,.259,https://www.mlb.com/mets
Chicago Cubs,NL,44,50,4.51,94,94,0,0,20,39,824.2,840,456,413,130,46,310,825,1.39,.262,https://www.mlb.com/cubs
Philadelphia Phillies,NL,55,56,4.56,111,111,1,1,27,40,999.2,1010,560,507,177,51,382,937,1.39,.263,https://www.mlb.com/phillies
Milwaukee Brewers,NL,55,48,4.57,103,103,0,0,24,46,928.0,865,503,471,141,41,381,930,1.34,.245,https://www.mlb.com/brewers
San Diego Padres,NL,45,61,4.61,106,106,0,0,32,48,937.0,890,515,480,137,52,316,956,1.29,.246,https://www.mlb.com/padres
Boston Red Sox,AL,57,53,4.65,110,110,1,1,24,46,1008.0,978,555,521,144,47,411,1126,1.38,.252,https://www.mlb.com/redsox
New York Yankees,AL,60,38,4.70,98,98,1,1,35,55,869.2,878,487,454,164,28,323,898,1.38,.260,https://www.mlb.com/yankees
Toronto Blue Jays,AL,41,57,4.80,98,98,0,0,18,26,877.0,891,505,468,142,36,373,795,1.44,.260,https://www.mlb.com/bluejays
Chicago White Sox,AL,44,49,4.85,93,93,2,1,21,30,824.1,853,478,444,143,30,347,743,1.46,.267,https://www.mlb.com/whitesox
Los Angeles Angels,AL,52,67,4.97,119,119,0,0,25,36,1066.1,1021,623,589,184,59,424,1043,1.36,.250,https://www.mlb.com/angels
Miami Marlins,NL,39,76,4.99,115,115,0,0,16,33,1026.0,975,603,569,173,70,449,978,1.39,.249,https://www.mlb.com/marlins
Seattle Mariners,AL,45,61,5.03,106,106,2,1,25,45,945.1,983,586,528,174,37,321,795,1.38,.264,https://www.mlb.com/mariners
Kansas City Royals,AL,38,63,5.06,101,101,1,1,25,38,884.2,922,520,497,133,50,371,784,1.46,.268,https://www.mlb.com/royals
Pittsburgh Pirates,NL,46,58,5.08,104,104,0,0,20,33,925.0,979,577,522,143,47,363,935,1.45,.270,https://www.mlb.com/pirates
Texas Rangers,AL,53,59,5.16,112,112,4,1,23,32,1000.0,1064,619,573,177,44,397,944,1.46,.271,https://www.mlb.com/rangers
Detroit Tigers,AL,24,67,5.43,91,91,0,0,15,30,812.1,897,528,490,151,37,315,764,1.49,.278,https://www.mlb.com/tigers
Colorado Rockies,NL,44,63,5.45,107,107,0,0,21,33,956.1,1045,619,579,180,38,362,808,1.47,.279,https://www.mlb.com/rockies
Baltimore Orioles,AL,33,69,5.99,102,102,0,0,17,36,923.2,1013,661,615,212,53,343,789,1.47,.276,https://www.mlb.com/orioles
