team,league,W,L,ERA,G,GS,CG,SHO,SV,SVO,IP,H,R,ER,HR,HB,BB,SO,WHIP,AVG,url
Los Angeles Dodgers,NL,--,--,8.44,--,--,--,--,--,0,123.2,88,142,116,10,4,32,121,0.97,.202,https://www.mlb.com/dodgers
Tampa Bay Rays,AL,--,--,9.39,--,--,--,--,--,0,123.2,109,148,129,13,8,54,122,1.32,.248,https://www.mlb.com/rays
Cleveland Indians,AL,--,--,10.48,--,--,--,--,--,0,107.1,92,136,125,13,7,39,123,1.22,.245,https://www.mlb.com/indians
Minnesota Twins,AL,--,--,10.63,--,--,--,--,--,0,114.1,103,146,135,13,8,44,126,1.29,.243,https://www.mlb.com/twins
Cincinnati Reds,NL,--,--,10.72,--,--,--,--,--,0,115.0,96,162,137,9,9,66,130,1.41,.233,https://www.mlb.com/reds
St. Louis Cardinals,NL,--,--,10.78,--,--,--,--,--,0,107.2,82,152,129,17,7,64,115,1.36,.222,https://www.mlb.com/cardinals
Arizona Diamondbacks,NL,--,--,10.80,--,--,--,--,--,0,136.2,120,180,164,12,10,78,130,1.45,.241,https://www.mlb.com/dbacks
Toronto Blue Jays,AL,--,--,10.99,--,--,--,--,--,0,143.1,127,213,175,15,6,80,134,1.44,.245,https://www.mlb.com/bluejays
Oakland Athletics,AL,--,--,11.16,--,--,--,--,--,0,115.1,103,159,143,15,3,51,103,1.34,.246,https://www.mlb.com/athletics
Milwaukee Brewers,NL,--,--,11.39,--,--,--,--,--,0,121.2,113,176,154,13,11,51,133,1.35,.251,https://www.mlb.com/brewers
Chicago White Sox,AL,--,--,11.68,--,--,--,--,--,0,118.2,105,176,154,18,8,61,112,1.40,.240,https://www.mlb.com/whitesox
Atlanta Braves,NL,--,--,11.73,--,--,--,--,--,0,142.0,140,213,185,14,7,75,117,1.51,.265,https://www.mlb.com/braves
New York Yankees,AL,--,--,11.84,--,--,--,--,--,0,121.2,124,185,160,21,6,52,123,1.45,.265,https://www.mlb.com/yankees
Kansas City Royals,AL,--,--,11.97,--,--,--,--,--,0,126.1,109,190,168,20,10,56,121,1.31,.250,https://www.mlb.com/royals
Washington Nationals,NL,--,--,11.97,--,--,--,--,--,0,141.1,124,203,188,24,3,95,148,1.55,.234,https://www.mlb.com/nationals
Houston Astros,AL,--,--,12.06,--,--,--,--,--,0,137.1,132,206,184,21,7,69,130,1.46,.261,https://www.mlb.com/astros
San Diego Padres,NL,--,--,12.11,--,--,--,--,--,0,113.2,110,169,153,18,6,40,118,1.32,.264,https://www.mlb.com/padres
Chicago Cubs,NL,--,--,12.13,--,--,--,--,--,0,112.0,103,161,151,17,4,56,118,1.42,.251,https://www.mlb.com/cubs
Miami Marlins,NL,--,--,12.25,--,--,--,--,--,0,133.2,127,212,182,21,4,83,115,1.57,.258,https://www.mlb.com/marlins
Pittsburgh Pirates,NL,--,--,12.30,--,--,--,--,--,0,134.2,125,213,184,19,9,89,138,1.59,.256,https://www.mlb.com/pirates
Baltimore Orioles,AL,--,--,12.41,--,--,--,--,--,0,127.2,123,209,176,17,6,60,113,1.43,.262,https://www.mlb.com/orioles
Boston Red Sox,AL,--,--,12.92,--,--,--,--,--,0,146.1,154,235,210,22,5,73,149,1.55,.279,https://www.mlb.com/redsox
San Francisco Giants,NL,--,--,13.40,--,--,--,--,--,0,134.1,132,229,200,22,10,68,113,1.49,.265,https://www.mlb.com/giants
Philadelphia Phillies,NL,--,--,13.60,--,--,--,--,--,0,132.1,145,224,200,22,7,60,135,1.55,.282,https://www.mlb.com/phillies
Texas Rangers,AL,--,--,13.80,--,--,--,--,--,0,135.2,122,228,208,27,6,63,121,1.36,.244,https://www.mlb.com/rangers
New York Mets,NL,--,--,13.88,--,--,--,--,--,0,131.2,139,225,203,17,11,83,145,1.69,.274,https://www.mlb.com/mets
Colorado Rockies,NL,--,--,14.27,--,--,--,--,--,0,151.1,163,264,240,22,10,66,107,1.51,.285,https://www.mlb.com/rockies
Los Angeles Angels,AL,--,--,14.56,--,--,--,--,--,0,131.0,133,235,212,21,6,70,132,1.55,.271,https://www.mlb.com/angels
Seattle Mariners,AL,--,--,15.14,--,--,--,--,--,0,131.1,140,233,221,24,12,75,122,1.64,.282,https://www.mlb.com/mariners
Detroit Tigers,AL,--,--,15.37,--,--,--,--,--,0,125.1,139,223,214,21,10,50,108,1.51,.290,https://www.mlb.com/tigers
