team,league,W,L,ERA,G,GS,CG,SHO,SV,SVO,IP,H,R,ER,HR,HB,BB,SO,WHIP,AVG,url
Cleveland Indians,AL,--,--,2.45,--,--,--,--,--,0,161.1,126,48,44,16,12,44,196,1.05,.216,https://www.mlb.com/indians
Oakland Athletics,AL,--,--,2.75,--,--,--,--,--,0,157.0,125,56,48,14,5,47,155,1.10,.217,https://www.mlb.com/athletics
Los Angeles Dodgers,NL,--,--,2.89,--,--,--,--,--,0,146.1,115,54,47,13,6,46,137,1.10,.213,https://www.mlb.com/dodgers
Houston Astros,AL,--,--,2.91,--,--,--,--,--,0,157.2,114,60,51,17,10,58,170,1.09,.201,https://www.mlb.com/astros
Chicago White Sox,AL,--,--,3.15,--,--,--,--,--,0,140.0,98,54,49,23,6,70,147,1.20,.197,https://www.mlb.com/whitesox
Seattle Mariners,AL,--,--,3.29,--,--,--,--,--,0,139.2,114,55,51,16,6,52,129,1.19,.224,https://www.mlb.com/mariners
Minnesota Twins,AL,--,--,3.29,--,--,--,--,--,0,125.2,111,49,46,12,4,36,143,1.17,.231,https://www.mlb.com/twins
Tampa Bay Rays,AL,--,--,3.48,--,--,--,--,--,0,152.2,146,67,59,24,8,56,160,1.32,.251,https://www.mlb.com/rays
Chicago Cubs,NL,--,--,3.54,--,--,--,--,--,0,129.2,116,53,51,19,3,44,124,1.23,.240,https://www.mlb.com/cubs
Miami Marlins,NL,--,--,3.69,--,--,--,--,--,0,136.2,124,62,56,18,3,54,132,1.30,.243,https://www.mlb.com/marlins
Milwaukee Brewers,NL,--,--,3.70,--,--,--,--,--,0,151.0,131,70,62,17,12,52,188,1.21,.228,https://www.mlb.com/brewers
Toronto Blue Jays,AL,--,--,3.72,--,--,--,--,--,0,147.2,134,73,61,28,0,66,162,1.35,.237,https://www.mlb.com/bluejays
San Diego Padres,NL,--,--,3.73,--,--,--,--,--,0,144.2,141,65,60,19,6,55,145,1.35,.255,https://www.mlb.com/padres
Cincinnati Reds,NL,--,--,3.75,--,--,--,--,--,0,117.2,101,55,49,14,5,58,143,1.35,.232,https://www.mlb.com/reds
Philadelphia Phillies,NL,--,--,3.81,--,--,--,--,--,0,118.0,129,56,50,15,5,47,134,1.49,.277,https://www.mlb.com/phillies
Baltimore Orioles,AL,--,--,3.93,--,--,--,--,--,0,132.2,126,66,58,20,10,60,129,1.40,.253,https://www.mlb.com/orioles
Colorado Rockies,NL,--,--,4.02,--,--,--,--,--,0,145.2,133,72,65,26,8,57,120,1.30,.241,https://www.mlb.com/rockies
Atlanta Braves,NL,--,--,4.10,--,--,--,--,--,0,131.2,120,69,60,17,5,59,120,1.36,.243,https://www.mlb.com/braves
Pittsburgh Pirates,NL,--,--,4.19,--,--,--,--,--,0,141.2,129,77,66,26,13,72,138,1.42,.243,https://www.mlb.com/pirates
St. Louis Cardinals,NL,--,--,4.28,--,--,--,--,--,0,122.0,101,64,58,21,4,50,127,1.24,.223,https://www.mlb.com/cardinals
Kansas City Royals,AL,--,--,4.50,--,--,--,--,--,0,120.0,111,67,60,21,4,63,125,1.45,.242,https://www.mlb.com/royals
New York Yankees,AL,--,--,4.51,--,--,--,--,--,0,127.2,107,67,64,27,3,38,141,1.14,.223,https://www.mlb.com/yankees
San Francisco Giants,NL,--,--,4.62,--,--,--,--,--,0,120.2,124,72,62,13,3,46,118,1.41,.262,https://www.mlb.com/giants
Arizona Diamondbacks,NL,--,--,4.76,--,--,--,--,--,0,119.0,120,67,63,23,7,67,116,1.57,.256,https://www.mlb.com/dbacks
Texas Rangers,AL,--,--,4.78,--,--,--,--,--,0,116.2,114,72,62,18,6,59,118,1.48,.251,https://www.mlb.com/rangers
Washington Nationals,NL,--,--,4.79,--,--,--,--,--,0,103.1,111,60,55,22,3,45,102,1.51,.272,https://www.mlb.com/nationals
Detroit Tigers,AL,--,--,4.92,--,--,--,--,--,0,117.0,126,68,64,25,10,48,97,1.49,.273,https://www.mlb.com/tigers
Los Angeles Angels,AL,--,--,5.02,--,--,--,--,--,0,143.1,143,88,80,28,7,61,142,1.42,.261,https://www.mlb.com/angels
Boston Red Sox,AL,--,--,5.08,--,--,--,--,--,0,113.1,125,68,64,21,12,58,121,1.61,.275,https://www.mlb.com/redsox
New York Mets,NL,--,--,5.60,--,--,--,--,--,0,115.2,126,78,72,22,7,43,132,1.46,.271,https://www.mlb.com/mets
