,pitcher_id
0,232694
1,434678
2,488919
3,501817
4,279782
5,525768
6,605353
7,452238
8,430962
9,571851
10,276912
11,593160
12,425646
13,489135
14,122987
15,573668
16,542436
17,425833
18,605512
19,519242
20,453181
21,501800
22,452249
23,444041
24,519082
25,349193
26,571704
27,657145
28,572208
29,477003
30,592773
31,457133
32,608475
33,493159
34,606995
35,435558
36,465065
37,453368
38,571466
39,407861
40,607231
41,460283
42,425206
43,502009
44,457567
45,656887
46,591701
47,451775
48,518792
49,493157
50,607200
51,431166
52,453203
53,595751
54,519222
55,642727
56,664869
57,545001
58,615698
59,596133
60,476704
61,642564
62,121347
63,596057
64,656716
65,519455
66,457935
67,460597
68,623364
69,150020
70,622663
71,519071
72,592767
73,446372
74,622783
75,516769
76,650402
77,622569
78,597113
79,452254
80,446321
81,453580
82,518886
83,642180
84,134268
85,499107
86,595345
87,641914
88,670329
89,150302
90,425508
91,465679
92,608723
93,502085
94,457775
95,543592
96,434619
97,664058
98,595411
99,457706
100,608061
101,670426
102,325392
103,430942
104,457915
105,453214
106,276519
107,658305
108,640451
109,607359
110,623451
111,608032
112,624431
113,548357
114,543261
115,605520
116,110683
117,444125
118,596720
119,456501
120,506433
121,592609
122,622491
123,547939
124,572138
125,543788
126,606160
127,452215
128,450204
129,572020
130,608577
131,650644
132,592665
133,520471
134,534576
135,502260
136,461872
137,457926
138,434626
139,276542
140,592879
141,407489
142,542289
143,445060
144,448287
145,543136
146,502003
147,571584
148,458913
149,594792
150,611093
151,642708
152,622505
153,476601
154,458501
155,518618
156,572804
157,279827
158,669214
159,502304
160,460269
161,460022
162,488689
163,606930
164,435140
165,519076
166,457812
167,621002
168,607473
169,641729
170,502125
171,542609
172,573109
173,434778
174,581527
175,594772
176,670032
177,657228
178,572788
179,476270
180,277417
181,502317
182,518991
183,499926
184,543194
185,464400
186,642770
187,150071
188,628452
189,621573
190,400134
191,518725
192,543743
193,493114
194,451661
195,622666
196,642152
197,451594
198,571976
199,669060
200,656775
201,645305
202,458675
203,434638
204,641154
205,553869
206,434538
207,430589
208,407792
209,656954
210,433597
211,594311
212,607555
213,594736
214,666931
215,453307
216,503351
217,573185
218,448165
219,571771
220,656977
221,458250
222,429665
223,123107
224,543698
225,453156
226,519411
227,430652
228,285131
229,518567
230,592239
231,622554
232,642073
233,430636
234,449161
235,543768
236,460075
237,605244
238,608703
239,543805
240,461325
241,446359
242,608566
243,623180
244,543272
245,150148
246,453400
247,641771
248,543434
249,657610
250,453362
251,571825
252,672386
253,571963
254,429901
255,444379
256,465784
257,605156
258,444836
259,469690
260,448179
261,545341
262,573135
263,458210
264,571539
265,543294
266,430641
267,464281
268,408072
269,488917
270,592390
271,572204
272,572888
273,607216
274,466988
275,400268
276,446264
277,595978
278,446560
279,592533
280,641312
281,452259
282,595023
283,468406
284,448855
285,664901
286,476454
287,649557
288,449060
289,453298
290,501925
291,461315
292,506606
293,592340
294,452737
295,453344
296,408061
297,543243
298,475253
299,435181
300,602922
301,667498
302,593525
303,612434
304,605253
305,592835
306,473234
307,614173
308,605538
309,621450
310,605323
311,407822
312,441368
313,656308
314,669456
315,407908
316,648717
317,605421
318,434939
319,457292
320,518674
321,501726
322,542866
323,554234
324,538227
325,642156
326,519303
327,457762
328,457787
329,282656
330,592592
331,134320
332,456589
333,644364
334,280061
335,456713
336,594965
337,622103
338,435045
339,446624
340,469721
341,519263
342,425769
343,519304
344,520980
345,605333
346,519008
347,641427
348,460621
349,445988
350,467856
351,572021
352,458000
353,430957
354,608596
355,136880
356,493343
357,232994
358,461766
359,517060
360,461865
361,608717
