,0
0,https://baseballsavant.mlb.com/savant-player/434678
1,https://baseballsavant.mlb.com/savant-player/501817
2,https://baseballsavant.mlb.com/savant-player/279782
3,https://baseballsavant.mlb.com/savant-player/525768
4,https://baseballsavant.mlb.com/savant-player/430962
5,https://baseballsavant.mlb.com/savant-player/624647
6,https://baseballsavant.mlb.com/savant-player/276912
7,https://baseballsavant.mlb.com/savant-player/425646
8,https://baseballsavant.mlb.com/savant-player/122987
9,https://baseballsavant.mlb.com/savant-player/519357
10,https://baseballsavant.mlb.com/savant-player/573668
11,https://baseballsavant.mlb.com/savant-player/621345
12,https://baseballsavant.mlb.com/savant-player/519242
13,https://baseballsavant.mlb.com/savant-player/571704
14,https://baseballsavant.mlb.com/savant-player/452249
15,https://baseballsavant.mlb.com/savant-player/572208
16,https://baseballsavant.mlb.com/savant-player/592773
17,https://baseballsavant.mlb.com/savant-player/349193
18,https://baseballsavant.mlb.com/savant-player/477003
19,https://baseballsavant.mlb.com/savant-player/656492
20,https://baseballsavant.mlb.com/savant-player/658431
21,https://baseballsavant.mlb.com/savant-player/434482
22,https://baseballsavant.mlb.com/savant-player/493159
23,https://baseballsavant.mlb.com/savant-player/606995
24,https://baseballsavant.mlb.com/savant-player/669432
25,https://baseballsavant.mlb.com/savant-player/465065
26,https://baseballsavant.mlb.com/savant-player/607231
27,https://baseballsavant.mlb.com/savant-player/460283
28,https://baseballsavant.mlb.com/savant-player/502009
29,https://baseballsavant.mlb.com/savant-player/425206
30,https://baseballsavant.mlb.com/savant-player/457567
31,https://baseballsavant.mlb.com/savant-player/656887
32,https://baseballsavant.mlb.com/savant-player/591701
33,https://baseballsavant.mlb.com/savant-player/451775
34,https://baseballsavant.mlb.com/savant-player/493157
35,https://baseballsavant.mlb.com/savant-player/607200
36,https://baseballsavant.mlb.com/savant-player/453203
37,https://baseballsavant.mlb.com/savant-player/622251
38,https://baseballsavant.mlb.com/savant-player/519222
39,https://baseballsavant.mlb.com/savant-player/664869
40,https://baseballsavant.mlb.com/savant-player/545001
41,https://baseballsavant.mlb.com/savant-player/615698
42,https://baseballsavant.mlb.com/savant-player/596133
43,https://baseballsavant.mlb.com/savant-player/642564
44,https://baseballsavant.mlb.com/savant-player/596057
45,https://baseballsavant.mlb.com/savant-player/519455
46,https://baseballsavant.mlb.com/savant-player/457935
47,https://baseballsavant.mlb.com/savant-player/460597
48,https://baseballsavant.mlb.com/savant-player/623364
49,https://baseballsavant.mlb.com/savant-player/622663
50,https://baseballsavant.mlb.com/savant-player/622783
51,https://baseballsavant.mlb.com/savant-player/592767
52,https://baseballsavant.mlb.com/savant-player/446372
53,https://baseballsavant.mlb.com/savant-player/516769
54,https://baseballsavant.mlb.com/savant-player/664299
55,https://baseballsavant.mlb.com/savant-player/597113
56,https://baseballsavant.mlb.com/savant-player/150011
57,https://baseballsavant.mlb.com/savant-player/446321
58,https://baseballsavant.mlb.com/savant-player/453580
59,https://baseballsavant.mlb.com/savant-player/518886
60,https://baseballsavant.mlb.com/savant-player/642092
61,https://baseballsavant.mlb.com/savant-player/134268
