id,Year,Pitch,Team,Hand,#,MPH,Inches of Drop,vs Avg,% vs Avg,Inches of Break,vs Avg,% Break vs Avg
279782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
501817,2019.0,Splitter, CHC , R,1.0,86.0,32.3,-0.5,-1.0,11.1,-0.7,-6.0
501817,2019.0,Cutter, CHC , R,10.0,88.8,22.7,4.5,16.0,3.4,1.4,73.0
501817,2019.0,Sinker, CHC , R,6.0,91.4,21.1,-2.7,-11.0,13.3,-1.3,-9.0
501817,2019.0,Curveball, CHC , R,1.0,73.1,63.1,-0.4,-1.0,14.8,2.5,21.0
501817,2019.0,4-Seamer, CHC , R,7.0,91.1,16.7,0.5,3.0,3.6,-3.8,-51.0
501817,2018.0,Splitter, TEX , R,17.0,87.7,30.3,-0.9,-3.0,10.8,-2.2,-17.0
501817,2018.0,Cutter, TEX , R,101.0,89.7,23.0,2.5,10.0,5.3,3.6,207.0
501817,2018.0,Curveball, TEX , R,98.0,80.9,45.0,-5.3,-10.0,10.5,0.6,7.0
501817,2018.0,4-Seamer, TEX , R,114.0,93.0,14.6,1.8,11.0,2.0,-5.8,-74.0
501817,2018.0,Sinker, TEX , R,75.0,92.8,19.8,-2.9,-13.0,13.3,-1.5,-10.0
501817,2017.0,Curveball, TEX , R,187.0,78.6,52.5,0.7,1.0,13.1,3.4,35.0
501817,2017.0,Sinker, TEX , R,66.0,92.4,21.7,0.4,2.0,14.4,-0.5,-3.0
501817,2017.0,Splitter, TEX , R,48.0,87.8,29.8,-0.8,-3.0,11.7,-0.5,-4.0
501817,2017.0,4-Seamer, TEX , R,253.0,93.0,15.0,-0.2,-1.0,3.2,-4.7,-59.0
501817,2017.0,Cutter, TEX , R,479.0,88.7,27.1,-1.8,-7.0,5.3,3.4,182.0
501817,2016.0,Sinker, TEX , R,176.0,92.7,19.1,-1.0,-5.0,12.1,-2.7,-18.0
501817,2016.0,Slider, TEX , R,54.0,82.8,41.7,4.7,13.0,9.9,6.1,162.0
501817,2016.0,Curveball, TEX , R,94.0,77.9,50.1,-3.0,-6.0,14.4,5.5,61.0
501817,2016.0,Cutter, TEX , R,374.0,88.6,27.0,-1.8,-7.0,6.2,5.0,452.0
501817,2016.0,Splitter, TEX , R,99.0,88.5,30.6,1.8,6.0,8.4,-4.4,-35.0
501817,2016.0,4-Seamer, TEX , R,119.0,93.3,15.2,-0.8,-6.0,2.7,-6.0,-69.0
430962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
434678,2015.0,Changeup, NYY , R,2.0,82.9,20.1,-9.8,-33.0,17.2,4.1,31.0
434678,2015.0,Curveball, NYY , R,3.0,77.4,49.8,-4.7,-9.0,8.9,0.8,9.0
434678,2015.0,Cutter, NYY , R,7.0,86.4,21.6,5.1,19.0,0.9,-1.5,-62.0
434678,2015.0,4-Seamer, NYY , R,26.0,90.6,9.8,5.7,37.0,11.6,3.7,48.0
525768,2019.0,4-Seamer, CHC , L,75.0,92.1,14.9,2.1,12.0,2.3,-5.3,-69.0
525768,2019.0,Curveball, CHC , L,34.0,75.1,68.5,7.6,13.0,10.6,-0.7,-6.0
525768,2019.0,Slider, CHC , L,51.0,88.8,26.7,-5.9,-18.0,5.3,1.6,44.0
525768,2018.0,4-Seamer, WSH , L,197.0,92.4,14.0,2.8,17.0,3.5,-4.3,-55.0
525768,2018.0,Curveball, WSH , L,63.0,74.8,69.7,8.1,13.0,10.6,-0.4,-4.0
525768,2018.0,Slider, WSH , L,68.0,88.7,25.6,-7.7,-23.0,5.0,1.0,24.0
525768,2018.0,Changeup, WSH , L,43.0,84.0,21.2,-11.1,-34.0,7.8,-5.5,-41.0
276912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
425646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
573668,2019.0,Cutter, CWS , R,1.0,87.7,35.7,-10.4,-41.0,11.8,-13.5,-796.0
573668,2019.0,4-Seamer, CWS , R,299.0,93.4,16.7,-1.2,-8.0,9.6,2.3,32.0
573668,2019.0,Changeup, CWS , R,96.0,88.1,32.6,4.5,16.0,12.3,-1.6,-11.0
573668,2019.0,Curveball, CWS , R,40.0,83.6,40.0,-9.0,-18.0,4.4,-2.4,-35.0
573668,2019.0,Slider, CWS , R,42.0,84.4,36.4,-0.5,-1.0,2.7,-1.9,-42.0
573668,2018.0,Slider, CWS , R,75.0,86.4,33.8,0.0,0.0,3.2,-0.9,-22.0
573668,2018.0,4-Seamer, CWS , R,556.0,95.0,15.3,-0.5,-3.0,10.2,2.8,38.0
573668,2018.0,Curveball, CWS , R,67.0,85.3,38.6,-7.7,-17.0,4.7,-2.2,-32.0
573668,2018.0,Changeup, CWS , R,210.0,89.7,32.7,5.5,20.0,13.1,-1.0,-7.0
573668,2017.0,Sinker, CWS , R,133.0,94.4,16.7,-2.4,-12.0,12.3,-2.5,-17.0
