id,Year,team,league,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
279782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
279782,2001.0,CWS,AL,510.0,6.0,7.0,3.69,35.0,16.0,1.0,117.0,123.0,59.0,48.0,16.0,55.0,61.0,1.52
279782,2002.0,CWS,AL,827.0,12.0,12.0,4.58,33.0,33.0,0.0,192.2,188.0,109.0,98.0,23.0,83.0,112.0,1.41
279782,2003.0,CWS,AL,813.0,12.0,13.0,4.51,32.0,32.0,0.0,191.2,188.0,103.0,96.0,28.0,74.0,108.0,1.37
279782,2004.0,CWS,AL,923.0,12.0,11.0,4.89,34.0,33.0,0.0,217.0,223.0,125.0,118.0,34.0,76.0,113.0,1.38
279782,2005.0,CWS,AL,901.0,18.0,10.0,3.50,32.0,32.0,0.0,221.0,212.0,93.0,86.0,26.0,47.0,115.0,1.17
279782,2006.0,CWS,AL,900.0,18.0,7.0,4.51,33.0,32.0,0.0,211.1,247.0,112.0,106.0,26.0,41.0,112.0,1.36
279782,2007.0,CWS,AL,883.0,10.0,13.0,4.23,32.0,32.0,0.0,208.1,219.0,114.0,98.0,19.0,57.0,98.0,1.32
279782,2008.0,LAA,AL,864.0,14.0,8.0,4.90,32.0,32.0,0.0,196.2,237.0,116.0,107.0,23.0,59.0,90.0,1.51
279782,2009.0,2,Teams,882.0,11.0,13.0,4.01,33.0,33.0,0.0,204.0,225.0,106.0,91.0,23.0,61.0,109.0,1.40
279782,2009.0,ARI,NL,728.0,8.0,11.0,4.29,27.0,27.0,0.0,167.2,188.0,90.0,80.0,19.0,52.0,83.0,1.43
279782,2009.0,LAD,NL,154.0,3.0,2.0,2.72,6.0,6.0,0.0,36.1,37.0,16.0,11.0,4.0,9.0,26.0,1.27
279782,2010.0,SD,NL,837.0,14.0,12.0,3.47,33.0,33.0,0.0,200.0,176.0,86.0,77.0,20.0,87.0,136.0,1.32
279782,2011.0,LAD,NL,230.0,1.0,5.0,4.33,9.0,9.0,0.0,54.0,55.0,26.0,26.0,6.0,20.0,28.0,1.39
279782,2013.0,COL,NL,303.0,4.0,6.0,5.82,12.0,12.0,0.0,68.0,85.0,45.0,44.0,9.0,23.0,32.0,1.59
501817,2016.0,TEX,AL,246.0,7.0,3.0,2.09,53.0,0.0,0.0,60.1,54.0,16.0,14.0,4.0,16.0,49.0,1.16
501817,2017.0,TEX,AL,252.0,2.0,1.0,5.49,50.0,0.0,2.0,57.1,64.0,36.0,35.0,7.0,22.0,57.0,1.50
501817,2018.0,TEX,AL,104.0,2.0,0.0,2.39,22.0,0.0,0.0,26.1,19.0,11.0,7.0,2.0,5.0,26.0,0.91
501817,2019.0,CHC,NL,5.0,0.0,0.0,6.75,2.0,0.0,0.0,1.1,2.0,1.0,1.0,1.0,0.0,0.0,1.50
430962,2005.0,ARI,NL,68.0,1.0,0.0,5.52,3.0,3.0,0.0,14.2,10.0,9.0,9.0,1.0,13.0,11.0,1.57
