id,Year,xwOBA,xBA,xSLG,xISO,xOBP,Brl,Brl%,EV,HardHit%,K%,BB%,Whiff%,xERA,FB Velo,FB Spin,CB Spin
279782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
501817,2016.0, 40, 24, 51, 71, 33, 82, 76, 89, 86, 41, 72, 61, 40,18.0,89.0,61.0
501817,2017.0, 63, 41, 61, 72, 43, 88, 91, 59, 38, 58, 43, 83, 63,18.0,97.0,62.0
501817,2018.0, , , , , , , , , , , , , ,36.0,95.0,62.0
501817,2019.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
430962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
434678,2015.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
525768,2018.0, , , , , , , , , , , , , ,46.0,52.0,87.0
525768,2019.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
276912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
425646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
573668,2016.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
573668,2017.0, , , , , , , , , , , , , ,72.0,72.0,33.0
573668,2018.0, 84, 91, 97, 96, 40, 97, 96, 7, 16, 81, 3, 62, 84,80.0,84.0,24.0
573668,2019.0, , , , , , , , , , , , , ,56.0,61.0,18.0
452249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
519242,2015.0, 88, 85, 86, 78, 92, 29, 77, 94, 91, 96, 90, 95, 88,84.0,70.0,NA
519242,2016.0, 74, 69, 62, 59, 80, 10, 56, 43, 61, 80, 90, 62, 74,64.0,50.0,NA
519242,2017.0, 95, 93, 87, 67, 99, 13, 46, 59, 70, 98, 94, 90, 95,75.0,69.0,NA
519242,2018.0, 98, 99, 97, 84, 99, 28, 28, 97, 97, 98, 89, 96, 98,78.0,71.0,NA
519242,2019.0, 81, 83, 69, 53, 89, 26, 28, 53, 52, 96, 80, 86, 81,52.0,72.0,NA
571704,2015.0, 81, 81, 86, 82, 74, 79, 80, 58, 35, 92, 31, 91, 81,96.0,81.0,NA
571704,2016.0, 85, 87, 82, 69, 82, 65, 26, 51, 62, 98, 37, 99, 85,98.0,88.0,NA
571704,2017.0, 96, 95, 98, 95, 94, 88, 83, 59, 43, 96, 46, 93, 96,98.0,93.0,NA
571704,2018.0, 61, 34, 40, 42, 84, 72, 45, 18, 44, 66, 99, 84, 61,97.0,81.0,NA
571704,2019.0, 98, 97, 95, 85, 97, 80, 25, 61, 62, 99, 48, 99, 98,94.0,64.0,NA
571704,2020.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
349193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
572208,2016.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
