id,type,proportion
279782,NA,NA
501817,Cutter,40%
501817,4-Seam Fastball,28%
501817,Sinker,24%
501817,Split Finger,4%
501817,Curveball,4%
430962,NA,NA
434678,4-Seam Fastball,68.4%
434678,Cutter,18.4%
434678,Curveball,7.9%
434678,Changeup,5.3%
525768,4-Seam Fastball,46.9%
525768,Slider,31.9%
525768,Curveball,21.3%
276912,NA,NA
425646,NA,NA
122987,NA,NA
573668,4-Seam Fastball,62.6%
573668,Changeup,20.1%
573668,Slider,8.8%
573668,Curveball,8.4%
573668,Cutter,0.2%
452249,NA,NA
519242,Slider,38.4%
519242,4-Seam Fastball,35.8%
519242,Changeup,15.6%
519242,Sinker,10.2%
571704,Slider,58%
571704,4-Seam Fastball,42%
349193,NA,NA
572208,4-Seam Fastball,63.5%
572208,Slider,23.5%
572208,Changeup,12.9%
493159,4-Seam Fastball,50.4%
493159,Changeup,14%
493159,Slider,12.9%
493159,Sinker,10.4%
493159,Curveball,7%
493159,Cutter,5.3%
606995,4-Seam Fastball,71.7%
606995,Slider,27.8%
606995,Changeup,0.5%
477003,Sinker,30.1%
477003,4-Seam Fastball,26.6%
477003,Cutter,23.6%
477003,Changeup,10.3%
477003,Curveball,8.9%
477003,Slider,0.5%
592773,4-Seam Fastball,43.9%
592773,Slider,38.1%
592773,Split Finger,18%
465065,NA,NA
607231,Sinker,38.8%
607231,Changeup,23.3%
607231,4-Seam Fastball,13.3%
607231,Curveball,12.5%
607231,Cutter,12.1%
457567,NA,NA
591701,4-Seam Fastball,37.5%
591701,Curveball,35.9%
591701,Changeup,16.4%
591701,Sinker,10.2%
460283,Curveball,49.1%
460283,4-Seam Fastball,42.7%
460283,Changeup,8.2%
656887,4-Seam Fastball,63.2%
656887,Slider,30.8%
656887,Changeup,6%
502009,4-Seam Fastball,41.5%
502009,Slider,29.6%
502009,Sinker,17.7%
502009,Changeup,8.1%
502009,Curveball,3.1%
451775,4-Seam Fastball,69.5%
451775,Cutter,22.9%
451775,Curveball,6.8%
451775,Changeup,0.8%
493157,4-Seam Fastball,63.1%
493157,Split Finger,32.3%
493157,Slider,2.5%
493157,Sinker,2.1%
607200,Sinker,43.9%
607200,Curveball,18.4%
607200,Cutter,16.6%
