id,Season,Pitches,Zone %,Zone Swing %,Zone Contact %,Chase %,Chase Contact %,Edge %,1st Pitch Strike %,Swing %,Whiff %,Meatball %,Meatball Swing %
279782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
501817,2016,921.0,46.8,69.6,83.7,31.4,59.1,40.8,57.3,49.3,24.7,6.1,78.6
501817,2017,1035.0,43.6,67.6,81.3,34.1,53.3,40.8,60.7,48.6,29.8,6.8,75.7
501817,2018,405.0,50.9,62.1,84.4,29.1,50.0,41.5,71.2,45.9,26.3,5.4,90.9
501817,2019,25.0,52.0,53.8,100.0,0.0,28.0,40.0,28.0,0.0,0.0,NA,NA
501817,ALL,2386.0,46.1,67.2,82.9,32.0,55.0,40.8,61.0,48.2,27.0,6.2,79.1
501817,MLB,48.4,66.1,82.8,28.2,59.4,42.6,60.6,46.6,24.5,7.2,75.1,NA
430962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
434678,2015,38.0,71.1,51.9,100.0,9.1,100.0,44.7,60.0,39.5,0.0,2.6,100.0
434678,ALL,38.0,71.1,51.9,100.0,9.1,100.0,44.7,60.0,39.5,0.0,2.6,100.0
434678,MLB,48.4,66.1,82.8,28.2,59.4,42.6,60.6,46.6,24.5,7.2,75.1,NA
525768,2018,371.0,46.1,66.7,80.7,29.5,59.3,39.9,61.6,46.6,26.6,6.5,79.2
525768,2019,160.0,44.4,63.4,91.1,25.8,65.2,45.0,44.7,42.5,17.6,8.1,76.9
525768,ALL,531.0,45.6,65.7,83.6,28.4,61.0,41.4,56.9,45.4,24.1,7.0,78.4
525768,MLB,48.4,66.1,82.8,28.2,59.4,42.6,60.6,46.6,24.5,7.2,75.1,NA
276912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
425646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
573668,2016,180.0,50.6,71.4,80.0,20.2,66.7,45.0,55.3,46.1,22.9,8.9,81.3
573668,2017,809.0,48.3,69.8,81.5,25.0,51.0,40.4,55.4,46.7,27.0,7.3,84.7
573668,2018,910.0,47.1,67.3,81.9,27.7,54.1,40.2,57.4,46.3,26.8,6.5,78.0
573668,2019,478.0,51.0,68.9,81.5,27.8,67.7,43.7,53.2,48.7,22.3,9.2,95.5
573668,ALL,2377.0,48.5,68.8,81.6,26.2,56.6,41.3,55.7,46.9,25.7,7.5,84.8
