id,Year,Pitch Type,RV/100,Run Value,Pitches,%,PA,BA,SLG,wOBA,Whiff%,K%,PutAway %,xBA,xSLG,xwOBA,Hard Hit %
279782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
501817,2019.0, Cutter,1.3,0.0,10.0,40.0,1.0,0.0,0.0,0.0,0.0,0.0,0.592,0.723,0.577,100.0,NA
501817,2019.0, 4-Seamer,-7.3,-1.0,7.0,28.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111,0.397,0.196,100.0
501817,2019.0, Splitter,49.0,0.0,1.0,4.0,1.0,1.0,1.0,0.9,0.0,0.0,0.0,0.088,0.13,0.095,0.0
501817,2019.0, Sinker,1.8,0.0,6.0,24.0,2.0,0.5,2.0,1.0,0.0,0.0,0.0,0.267,0.962,0.487,50.0
501817,2019.0, Curveball,4.4,0.0,1.0,4.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
501817,2018.0, Splitter,0.7,0.0,17.0,4.2,2.0,0.5,0.5,0.45,33.3,0.0,0.0,0.248,0.276,0.225,0.0
501817,2018.0, 4-Seamer,0.2,0.0,114.0,28.1,23.0,0.227,0.545,0.376,16.3,39.1,29.0,0.256,0.603,0.375,53.8
501817,2018.0, Sinker,-2.2,-2.0,75.0,18.5,24.0,0.136,0.136,0.208,16.7,12.5,14.3,0.3,0.461,0.358,63.2
501817,2018.0, Curveball,-2.7,-3.0,98.0,24.2,25.0,0.12,0.24,0.15,45.8,36.0,26.5,0.107,0.23,0.143,12.5
501817,2018.0, Cutter,-0.5,-1.0,101.0,24.9,30.0,0.269,0.423,0.35,23.4,16.7,14.7,0.202,0.26,0.272,19.0
501817,2017.0, Splitter,1.1,1.0,48.0,4.6,16.0,0.154,0.462,0.291,33.3,31.3,18.5,0.19,0.403,0.309,33.3
501817,2017.0, Sinker,6.9,5.0,66.0,6.4,19.0,0.444,0.833,0.511,21.1,15.8,17.6,0.345,0.525,0.371,37.5
501817,2017.0, Curveball,1.0,2.0,187.0,18.1,44.0,0.19,0.333,0.228,48.9,34.1,16.3,0.172,0.243,0.193,25.0
501817,2017.0, 4-Seamer,0.7,2.0,253.0,24.4,55.0,0.341,0.415,0.401,31.0,25.5,16.7,0.265,0.371,0.358,41.4
501817,2017.0, Cutter,0.5,2.0,479.0,46.3,114.0,0.296,0.463,0.351,23.3,17.5,15.3,0.279,0.444,0.326,34.8
430962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
434678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
525768,2019.0, Curveball,-1.7,-1.0,34.0,21.3,7.0,0.143,0.286,0.179,30.0,28.6,16.7,0.143,0.169,0.136,0.0
525768,2019.0, Slider,-1.5,-1.0,51.0,31.9,14.0,0.286,0.429,0.307,22.2,0.0,0.0,0.343,0.558,0.379,35.7
525768,2019.0, 4-Seamer,-1.2,-1.0,75.0,46.9,17.0,0.308,0.538,0.4,9.7,11.8,10.0,0.284,0.51,0.399,16.7
525768,2018.0, Changeup,7.7,3.0,43.0,11.6,13.0,0.4,0.8,0.596,30.4,0.0,0.0,0.372,0.741,0.532,20.0
525768,2018.0, Slider,0.9,1.0,68.0,18.3,15.0,0.286,0.571,0.383,38.2,40.0,26.1,0.142,0.281,0.217,50.0
525768,2018.0, Curveball,-1.8,-1.0,63.0,17.0,17.0,0.118,0.176,0.126,26.9,41.2,24.1,0.099,0.111,0.095,10.0
525768,2018.0, 4-Seamer,1.1,2.0,197.0,53.1,54.0,0.283,0.478,0.381,21.1,14.8,22.9,0.28,0.476,0.38,36.8
276912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
425646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
573668,2019.0, Cutter,-33.2,0.0,1.0,0.2,1.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,NA,NA,NA
573668,2019.0, Curveball,-4.3,-2.0,40.0,8.4,8.0,0.143,0.286,0.244,11.8,12.5,25.0,0.239,0.4,0.325,33.3
573668,2019.0, Slider,8.0,3.0,42.0,8.8,14.0,0.385,0.769,0.5,22.2,14.3,25.0,0.273,0.566,0.369,36.4
573668,2019.0, Changeup,0.8,1.0,96.0,20.1,35.0,0.152,0.333,0.256,20.0,28.6,21.3,0.167,0.266,0.214,43.5
573668,2019.0, 4-Seamer,0.4,1.0,299.0,62.6,68.0,0.345,0.569,0.436,23.9,19.1,16.3,0.274,0.435,0.357,42.2
573668,2018.0, Slider,-3.4,-3.0,75.0,8.2,10.0,0.1,0.1,0.09,41.9,0.0,0.0,0.24,0.278,0.231,30.0
573668,2018.0, Curveball,-2.7,-2.0,67.0,7.4,10.0,0.1,0.1,0.09,47.4,40.0,36.4,0.118,0.136,0.11,16.7
573668,2018.0, Changeup,-1.2,-2.0,210.0,23.1,58.0,0.179,0.232,0.213,39.4,55.2,23.2,0.138,0.171,0.157,41.7
573668,2018.0, 4-Seamer,0.7,4.0,556.0,61.1,128.0,0.267,0.436,0.381,18.3,17.2,15.9,0.237,0.37,0.355,41.8
573668,2018.0, N/A,0.0,0.0,1.0,0.1,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
573668,2017.0, Changeup,-1.2,0.0,28.0,3.5,3.0,0.0,0.0,0.0,58.3,100.0,42.9,0.0,NA,NA,NA
573668,2017.0, Slider,1.7,2.0,109.0,13.5,19.0,0.278,0.389,0.358,38.6,21.1,16.0,0.167,0.192,0.189,14.3
573668,2017.0, Sinker,-1.6,-2.0,133.0,16.4,30.0,0.222,0.333,0.287,15.3,16.7,13.5,0.272,0.404,0.328,31.8
573668,2017.0, Curveball,0.8,1.0,158.0,19.5,35.0,0.281,0.5,0.364,41.9,40.0,23.0,0.226,0.364,0.291,38.9
573668,2017.0, 4-Seamer,-0.2,-1.0,366.0,45.2,94.0,0.224,0.461,0.359,21.0,24.5,18.0,0.253,0.472,0.375,33.3
573668,2017.0, N/A,0.0,0.0,1.0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
573668,2017.0, Cutter,-3.4,0.0,2.0,0.2,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
452249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
519242,2019.0, Sinker,-1.2,-3.0,251.0,10.2,47.0,0.25,0.525,0.374,25.3,6.4,23.1,0.282,0.48,0.366,31.6
519242,2019.0, Changeup,-0.1,0.0,384.0,15.6,93.0,0.279,0.523,0.371,33.3,7.5,14.6,0.303,0.518,0.36,33.3
519242,2019.0, 4-Seamer,0.0,0.0,883.0,35.8,223.0,0.217,0.444,0.307,28.5,46.2,27.4,0.215,0.419,0.289,50.9
519242,2019.0, Slider,-0.5,-4.0,947.0,38.4,249.0,0.197,0.318,0.273,36.0,42.2,28.3,0.17,0.285,0.244,26.9
519242,2018.0, Sinker,0.3,1.0,240.0,9.5,46.0,0.429,0.69,0.499,22.4,2.2,5.9,0.308,0.543,0.397,22.0
519242,2018.0, Changeup,-1.8,-8.0,428.0,17.0,86.0,0.228,0.329,0.289,38.5,10.5,16.4,0.206,0.266,0.249,17.1
519242,2018.0, Slider,-2.3,-20.0,872.0,34.5,223.0,0.113,0.152,0.166,44.4,52.5,31.7,0.106,0.162,0.163,20.5
519242,2018.0, 4-Seamer,-1.8,-18.0,984.0,39.0,262.0,0.179,0.321,0.248,29.8,42.0,24.8,0.184,0.359,0.265,37.6
519242,2017.0, Sinker,-0.5,-2.0,390.0,11.4,93.0,0.284,0.443,0.339,18.4,14.0,27.7,0.276,0.469,0.333,38.2
519242,2017.0, Changeup,-0.2,-1.0,644.0,18.8,136.0,0.286,0.444,0.348,37.6,14.0,18.6,0.259,0.453,0.33,25.7
519242,2017.0, Slider,-1.3,-15.0,1127.0,32.9,286.0,0.179,0.346,0.267,39.7,46.9,30.2,0.142,0.24,0.207,23.1
519242,2017.0, 4-Seamer,-1.7,-22.0,1263.0,36.8,336.0,0.18,0.287,0.223,27.4,42.3,23.9,0.194,0.345,0.251,35.6
571704,2020.0, Slider,-2.1,-1.0,40.0,58.0,8.0,0.25,0.375,0.269,57.1,50.0,30.8,0.123,0.139,0.115,50.0
571704,2020.0, 4-Seamer,6.8,2.0,29.0,42.0,10.0,0.286,1.143,0.61,50.0,20.0,33.3,0.409,1.122,0.615,80.0
571704,2019.0, Sinker,0.7,0.0,13.0,1.6,5.0,0.4,0.4,0.36,22.2,40.0,33.3,0.298,0.342,0.277,100.0
571704,2019.0, 4-Seamer,-0.3,-1.0,397.0,49.0,95.0,0.259,0.481,0.371,25.9,22.1,28.0,0.266,0.525,0.382,48.3
571704,2019.0, Slider,-3.2,-13.0,400.0,49.4,107.0,0.124,0.19,0.146,54.4,56.1,39.0,0.116,0.162,0.13,13.3
571704,2018.0, Sinker,4.3,0.0,2.0,0.3,1.0,0.7,0.0,0.0,0.7,NA,NA,NA,NA,NA,NA
571704,2018.0, Slider,-1.5,-5.0,312.0,40.3,84.0,0.183,0.378,0.257,51.2,42.9,29.3,0.198,0.363,0.252,21.7
571704,2018.0, 4-Seamer,0.8,3.0,449.0,57.9,124.0,0.331,0.475,0.363,16.9,12.1,13.6,0.297,0.455,0.341,42.3
571704,2017.0, 4-Seamer,-1.0,-5.0,500.0,52.5,121.0,0.283,0.404,0.364,22.9,15.7,18.3,0.256,0.387,0.346,34.9
571704,2017.0, Slider,-2.0,-9.0,444.0,46.6,122.0,0.126,0.202,0.155,46.0,50.8,34.1,0.143,0.223,0.171,31.6
571704,2017.0, Changeup,3.1,0.0,1.0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
349193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
572208,2017.0, Changeup,-3.2,0.0,11.0,12.9,3.0,0.0,0.0,0.233,83.3,66.7,28.6,0.233,NA,NA,NA
572208,2017.0, Slider,-2.0,0.0,20.0,23.5,4.0,0.0,0.0,0.0,42.9,25.0,33.3,0.016,0.016,0.014,0.0
572208,2017.0, 4-Seamer,3.5,2.0,54.0,63.5,15.0,0.364,0.455,0.45,36.0,13.3,16.7,0.318,0.348,0.402,22.2
493159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
606995,2018.0, Changeup,-8.9,0.0,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.521,0.611,0.493,100.0
606995,2018.0, Slider,-1.5,-1.0,57.0,27.7,10.0,0.0,0.0,0.07,42.1,50.0,22.7,0.065,0.144,0.151,25.0
606995,2018.0, 4-Seamer,-1.2,-2.0,147.0,71.4,38.0,0.167,0.3,0.304,13.8,15.8,15.4,0.25,0.383,0.365,20.8
477003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
592773,2020.0, Splitter,6.9,2.0,34.0,18.0,11.0,0.364,0.727,0.459,45.0,45.5,25.0,0.285,0.712,0.387,66.7
592773,2020.0, Slider,0.0,0.0,72.0,38.1,15.0,0.25,0.25,0.32,52.0,26.7,21.1,0.169,0.311,0.296,25.0
592773,2020.0, 4-Seamer,-0.6,0.0,83.0,43.9,21.0,0.235,0.588,0.41,18.2,9.5,11.1,0.245,0.471,0.368,46.7
592773,2019.0, Slider,-0.1,0.0,306.0,23.5,61.0,0.246,0.386,0.289,45.5,32.8,24.7,0.215,0.31,0.249,21.1
592773,2019.0, Splitter,-0.6,-2.0,269.0,20.7,68.0,0.094,0.141,0.137,57.3,57.4,26.5,0.101,0.16,0.147,20.0
592773,2019.0, 4-Seamer,0.2,2.0,723.0,55.6,195.0,0.25,0.476,0.367,23.0,15.4,17.6,0.282,0.568,0.408,46.3
592773,2018.0, Splitter,-1.9,-3.0,140.0,13.0,45.0,0.091,0.25,0.152,57.4,66.7,33.0,0.082,0.16,0.116,14.3
592773,2018.0, Slider,-0.6,-2.0,291.0,26.9,65.0,0.197,0.295,0.242,48.2,36.9,27.9,0.182,0.264,0.227,27.0
592773,2018.0, 4-Seamer,-0.4,-2.0,649.0,60.0,151.0,0.225,0.395,0.327,23.6,17.2,17.8,0.233,0.482,0.36,45.6
592773,2017.0, Changeup,1.7,0.0,19.0,4.5,5.0,0.4,0.4,0.36,57.1,60.0,33.3,0.156,0.173,0.147,0.0
592773,2017.0, Splitter,-4.4,-2.0,35.0,8.3,8.0,0.125,0.125,0.113,41.2,62.5,29.4,0.17,0.204,0.162,0.0
592773,2017.0, Slider,0.5,0.0,81.0,19.1,17.0,0.188,0.438,0.285,54.1,47.1,25.0,0.12,0.23,0.184,12.5
592773,2017.0, 4-Seamer,1.8,5.0,284.0,67.1,62.0,0.365,0.692,0.477,27.9,21.0,16.5,0.291,0.601,0.421,52.5
592773,2017.0, Curveball,-0.6,0.0,3.0,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
465065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
607231,2020.0, Cutter,-4.0,-1.0,29.0,12.1,5.0,0.2,0.4,0.313,53.8,40.0,66.7,0.239,0.423,0.239,66.7
