id,season_played,type,W,L,ERA,G,GS,SV,IP,SO,WHIP
279782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
279782,13 Seasons,career,136.0,125.0,4.37,365.0,342.0,1.0,2151.1,1156.0,1.39
501817,2019,most recent,0.0,0.0,6.75,2.0,0.0,0.0,1.1,0.0,NA
501817,4 Seasons,career,11.0,4.0,3.53,127.0,0.0,2.0,145.1,132.0,1.25
430962,2010,most recent,4.0,5.0,4.29,38.0,2.0,0.0,56.2,47.0,NA
430962,6 Seasons,career,14.0,16.0,5.31,119.0,23.0,0.0,268.0,214.0,1.59
434678,2015,most recent,0.0,0.0,0.00,1.0,0.0,0.0,2.1,2.0,NA
434678,8 Seasons,career,43.0,65.0,5.57,152.0,144.0,0.0,770.1,547.0,1.62
525768,2019,most recent,0.0,0.0,3.12,9.0,0.0,0.0,8.2,4.0,NA
525768,6 Seasons,career,12.0,17.0,3.60,275.0,0.0,0.0,242.1,245.0,1.41
276912,2010,most recent,0.0,3.0,5.28,43.0,1.0,0.0,46.0,39.0,NA
276912,10 Seasons,career,46.0,44.0,3.18,491.0,15.0,21.0,697.0,631.0,1.24
425646,2013,most recent,2.0,1.0,3.27,39.0,0.0,0.0,33.0,22.0,NA
425646,9 Seasons,career,38.0,47.0,3.34,534.0,0.0,19.0,554.1,367.0,1.30
122987,2012,most recent,2.0,3.0,5.28,6.0,6.0,0.0,30.2,7.0,NA
122987,17 Seasons,career,140.0,146.0,4.70,448.0,417.0,0.0,2542.2,1390.0,1.46
573668,2019,most recent,0.0,0.0,3.90,22.0,0.0,0.0,27.2,27.0,NA
573668,4 Seasons,career,6.0,4.0,3.93,125.0,0.0,10.0,128.1,142.0,1.43
452249,2012,most recent,0.0,2.0,2.79,6.0,0.0,0.0,9.2,7.0,NA
452249,6 Seasons,career,32.0,33.0,4.86,138.0,68.0,1.0,483.0,347.0,1.40
519242,2019,most recent,6.0,11.0,4.40,25.0,25.0,0.0,147.1,218.0,NA
519242,10 Seasons,career,109.0,73.0,3.03,312.0,232.0,12.0,1629.2,2007.0,1.03
571704,2020,most recent,0.0,0.0,9.82,4.0,0.0,1.0,3.2,6.0,NA
571704,7 Seasons,career,14.0,18.0,2.74,357.0,0.0,115.0,351.0,478.0,1.12
349193,2012,most recent,0.0,2.0,6.41,32.0,0.0,0.0,26.2,13.0,NA
349193,10 Seasons,career,12.0,16.0,4.28,483.0,0.0,3.0,353.0,336.0,1.36
572208,2017,most recent,0.0,0.0,3.60,3.0,0.0,0.0,5.0,5.0,NA
572208,2 Seasons,career,1.0,0.0,4.66,8.0,0.0,0.0,9.2,10.0,1.66
493159,2015,most recent,1.0,1.0,3.62,8.0,7.0,0.0,32.1,31.0,NA
493159,2 Seasons,career,5.0,5.0,3.36,21.0,20.0,0.0,101.2,88.0,1.25
606995,2018,most recent,0.0,0.0,1.46,10.0,0.0,0.0,12.1,11.0,NA
606995,1 Season,career,0.0,0.0,1.46,10.0,0.0,0.0,12.1,11.0,1.14
477003,2016,most recent,8.0,7.0,5.50,29.0,20.0,0.0,121.0,88.0,NA
477003,9 Seasons,career,69.0,68.0,4.07,211.0,197.0,0.0,1189.1,914.0,1.38
592773,2020,most recent,0.0,0.0,7.20,9.0,0.0,0.0,10.0,11.0,NA
592773,4 Seasons,career,2.0,7.0,4.00,152.0,56.0,1.0,173.1,210.0,1.32
465065,2011,most recent,2.0,1.0,2.93,49.0,0.0,0.0,27.2,25.0,NA
465065,2 Seasons,career,3.0,1.0,3.48,63.0,0.0,0.0,41.1,35.0,1.26
607231,2020,most recent,0.0,3.0,2.40,17.0,0.0,0.0,15.0,18.0,NA
607231,5 Seasons,career,19.0,15.0,3.80,134.0,28.0,3.0,262.2,233.0,1.34
457567,2011,most recent,0.0,3.0,4.50,17.0,0.0,0.0,24.0,17.0,NA
457567,3 Seasons,career,2.0,5.0,4.74,74.0,0.0,0.0,98.2,86.0,1.54
591701,2017,most recent,0.0,0.0,10.50,6.0,0.0,0.0,6.0,6.0,NA
591701,1 Season,career,0.0,0.0,10.50,6.0,0.0,0.0,6.0,6.0,2.50
460283,2019,most recent,1.0,0.0,3.90,45.0,0.0,1.0,32.1,37.0,NA
460283,13 Seasons,career,30.0,13.0,3.54,609.0,1.0,7.0,495.1,508.0,1.24
656887,2020,most recent,1.0,0.0,1.35,5.0,0.0,0.0,6.2,6.0,NA
656887,3 Seasons,career,5.0,8.0,4.40,21.0,13.0,0.0,71.2,76.0,1.60
502009,2017,most recent,0.0,1.0,6.60,3.0,3.0,0.0,15.0,10.0,NA
502009,9 Seasons,career,71.0,59.0,3.64,197.0,189.0,0.0,1153.1,1011.0,1.21
451775,2016,most recent,2.0,0.0,4.20,34.0,0.0,0.0,40.2,37.0,NA
451775,6 Seasons,career,11.0,15.0,4.35,216.0,0.0,0.0,231.2,242.0,1.32
493157,2017,most recent,3.0,4.0,3.98,49.0,0.0,2.0,43.0,50.0,NA
493157,9 Seasons,career,22.0,26.0,2.66,436.0,12.0,95.0,480.2,572.0,0.89
607200,2020,most recent,2.0,4.0,4.29,11.0,8.0,0.0,50.1,28.0,NA
607200,4 Seasons,career,8.0,11.0,5.10,46.0,34.0,0.0,194.0,130.0,1.51
545001,2014,most recent,2.0,0.0,2.95,25.0,0.0,0.0,36.2,32.0,NA
545001,2 Seasons,career,2.0,1.0,4.21,44.0,0.0,0.0,51.1,48.0,1.34
664869,2018,most recent,0.0,0.0,8.22,3.0,2.0,0.0,7.2,5.0,NA
664869,1 Season,career,0.0,0.0,8.22,3.0,2.0,0.0,7.2,5.0,2.22
642564,2017,most recent,5.0,2.0,5.80,32.0,4.0,0.0,54.1,69.0,NA
642564,1 Season,career,5.0,2.0,5.80,32.0,4.0,0.0,54.1,69.0,1.51
615698,2020,most recent,2.0,0.0,2.25,18.0,3.0,1.0,32.0,31.0,NA
615698,2 Seasons,career,8.0,8.0,4.47,41.0,21.0,1.0,135.0,120.0,1.28
596133,2020,most recent,1.0,9.0,6.58,12.0,12.0,0.0,52.0,55.0,NA
596133,5 Seasons,career,20.0,29.0,4.71,76.0,67.0,0.0,349.1,362.0,1.40
460597,2011,most recent,1.0,2.0,5.47,26.0,0.0,0.0,24.2,14.0,NA
460597,3 Seasons,career,4.0,7.0,7.02,61.0,0.0,0.0,59.0,38.0,1.85
457935,2014,most recent,0.0,1.0,5.02,13.0,0.0,0.0,14.1,10.0,NA
457935,5 Seasons,career,2.0,3.0,4.47,112.0,0.0,0.0,100.2,98.0,1.27
623364,2020,most recent,0.0,0.0,18.00,1.0,0.0,0.0,1.0,2.0,NA
623364,3 Seasons,career,2.0,2.0,5.27,50.0,0.0,0.0,42.2,61.0,1.08
622663,2019,most recent,1.0,1.0,1.50,3.0,3.0,0.0,12.0,17.0,NA
622663,5 Seasons,career,42.0,26.0,3.46,99.0,88.0,0.0,530.0,589.0,1.15
596057,2020,most recent,3.0,1.0,3.25,14.0,1.0,0.0,27.2,28.0,NA
596057,7 Seasons,career,18.0,31.0,4.46,111.0,83.0,0.0,454.0,410.0,1.39
592767,2020,most recent,0.0,1.0,3.42,7.0,5.0,0.0,26.1,42.0,NA
592767,7 Seasons,career,35.0,35.0,4.13,188.0,111.0,3.0,710.2,714.0,1.26
622783,2019,most recent,0.0,0.0,9.00,1.0,0.0,0.0,1.0,0.0,NA
622783,2 Seasons,career,0.0,0.0,5.28,10.0,0.0,0.0,15.1,10.0,1.50
516769,2015,most recent,1.0,0.0,0.00,7.0,0.0,0.0,7.1,7.0,NA
516769,5 Seasons,career,9.0,14.0,3.68,113.0,18.0,28.0,183.1,162.0,1.48
