id,Season,Pitches,Batted Balls,Barrels,Barrel %,Exit Velocity,Launch Angle,Sweet Spot %,XBA,XSLG,WOBA,XWOBA,XWOBACON,Hard Hit %,K %,BB %,ERA,xERA
279782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
501817, 2016, 921, 177,8.0, 4.5, 86.7, 11.5, 37.3, .271, .406,0.281,0.327, .378, 29.4,19.9,6.5, 2.09, 4.33
501817, 2017, 1035, 171,6.0, 3.5, 86.8, 13.3, 36.3, .257, .397,0.338,0.311, .371, 34.5,22.6,8.7, 5.49, 3.96
501817, 2018, 405, 71,5.0, 7.0, 88.7, 10.8, 25.4, .213, .376,0.258,0.282, .345, 35.2,25.0,4.8, 2.39, 3.18
501817, 2019, 25, 5,1.0, 20.0, 91.4, 36.5, 20.0, .265, .635,0.562,0.368, .368, 60.0,0.0,0.0, 6.75, 5.99
501817, ALL, 2386, 424,20.0, 4.7, 87.1, 12.4, 34.7, .255, .399,0.303,0.313, .369, 32.8,21.7,7.1, , 
501817, MLB, , ,43640.0, 6.4, 88.3, 11.9, 32.8, .250, .414,0.317,0.321, .376, 34.9,21.8,8.3, , 
430962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
434678, 2015, 38, 8,0.0, 0.0, 84.7, -9.1, 25.0, .162, .184,0.264,0.158, .198, 12.5,20.0,0.0, 0.00, 1.03
434678, ALL, 38, 8,0.0, 0.0, 84.7, -9.1, 25.0, .162, .184,0.264,0.158, .198, 12.5,20.0,0.0, , 
434678, MLB, , ,43640.0, 6.4, 88.3, 11.9, 32.8, .250, .414,0.317,0.321, .376, 34.9,21.8,8.3, , 
525768, 2018, 371, 66,5.0, 7.6, 86, 17.3, 33.3, .231, .400,0.357,0.323, .359, 31.8,21.2,12.1, 4.37, 4.26
525768, 2019, 160, 31,2.0, 6.5, 86.3, 14.3, 51.6, .280, .460,0.316,0.342, .353, 22.6,10.5,7.9, 3.12, 5.05
525768, ALL, 531, 97,7.0, 7.2, 86.1, 16.3, 39.2, .245, .417,0.346,0.328, .357, 28.9,18.2,10.9, , 
525768, MLB, , ,43640.0, 6.4, 88.3, 11.9, 32.8, .250, .414,0.317,0.321, .376, 34.9,21.8,8.3, , 
276912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
425646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
573668, 2016, 180, 34,2.0, 5.9, 88, 22.8, 38.2, .250, .394,0.322,0.341, .327, 23.5,12.8,10.6, 4.35, 4.76
573668, 2017, 809, 109,6.0, 5.5, 87.8, 18.6, 35.8, .233, .392,0.331,0.322, .390, 31.5,27.7,10.9, 4.53, 4.27
573668, 2018, 910, 119,4.0, 3.4, 90.1, 16.5, 30.3, .199, .288,0.301,0.28, .315, 39.5,27.8,13.9, 3.28, 3.14
573668, 2019, 478, 85,4.0, 4.7, 89.6, 21, 32.9, .238, .395,0.361,0.313, .349, 41.2,21.4,9.5, 3.90, 4.15
573668, ALL, 2377, 347,16.0, 4.6, 89, 18.9, 33.4, .223, .355,0.326,0.306, .348, 35.8,25.1,11.7, , 
573668, MLB, , ,43640.0, 6.4, 88.3, 11.9, 32.8, .250, .414,0.317,0.321, .376, 34.9,21.8,8.3, , 
452249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
519242, 2015, 3323, 525,21.0, 4.0, 85.9, 13.1, 33.3, .215, .333,0.285,0.268, .366, 27.0,32.1,4.9, 3.41, 2.80
519242, 2016, 3431, 612,35.0, 5.7, 88.7, 14.6, 33.3, .237, .384,0.282,0.298, .374, 33.2,25.7,5.0, 3.34, 3.54
519242, 2017, 3428, 492,30.0, 6.1, 86.8, 15, 35.8, .197, .341,0.26,0.258, .375, 30.5,36.2,5.1, 2.90, 2.68
519242, 2018, 2525, 332,25.0, 7.5, 85.6, 12.4, 31.9, .168, .288,0.237,0.236, .338, 26.8,38.4,5.5, 2.11, 2.22
519242, 2019, 2466, 344,28.0, 8.1, 88.5, 12.9, 34.9, .215, .385,0.294,0.287, .411, 36.3,35.6,6.0, 4.40, 3.44
519242, ALL, 15173, 2305,139.0, 6.0, 87.2, 13.8, 33.9, .208, .348,0.272,0.271, .373, 30.8,33.1,5.2, , 
519242, MLB, , ,43640.0, 6.4, 88.3, 11.9, 32.8, .250, .414,0.317,0.321, .376, 34.9,21.8,8.3, , 
571704, 2015, 1185, 185,7.0, 3.8, 87.8, 11.5, 33.5, .221, .334,0.254,0.282, .363, 34.6,29.2,8.4, 1.80, 3.11
571704, 2016, 1117, 157,11.0, 7.0, 88.5, 12.3, 36.3, .214, .350,0.306,0.284, .406, 33.1,35.7,8.7, 4.11, 3.20
571704, 2017, 952, 142,6.0, 4.2, 86.8, 14.2, 31.7, .192, .294,0.251,0.255, .336, 34.0,33.6,8.5, 2.30, 2.61
571704, 2018, 775, 151,10.0, 6.6, 89.4, 11.8, 33.1, .254, .413,0.31,0.303, .390, 36.0,25.0,3.3, 4.65, 3.71
571704, 2019, 810, 108,9.0, 8.3, 88.2, 15.5, 34.3, .184, .320,0.247,0.248, .373, 35.2,39.9,8.2, 1.87, 2.55
571704, 2020, 69, 9,2.0, 22.2, 98.3, 10.9, 44.4, .256, .597,0.447,0.391, .552, 66.7,33.3,16.7, 9.82, 7.51
571704, ALL, 4908, 752,45.0, 6.0, 88.3, 12.8, 33.9, .214, .345,0.276,0.277, .376, 34.9,32.6,7.7, , 
571704, MLB, , ,43640.0, 6.4, 88.3, 11.9, 32.8, .250, .414,0.317,0.321, .376, 34.9,21.8,8.3, , 
349193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
572208, 2016, 105, 14,2.0, 14.3, 86, 15.3, 42.9, .268, .465,0.345,0.362, .421, 21.4,22.7,13.6, 5.79, 5.47
572208, 2017, 85, 12,0.0, 0.0, 81.4, 1.1, 16.7, .210, .229,0.334,0.308, .274, 16.7,22.7,18.2, 3.60, 3.87
572208, ALL, 190, 26,2.0, 7.7, 83.8, 8.8, 30.8, .240, .354,0.34,0.335, .353, 19.2,22.7,15.9, , 
572208, MLB, , ,43640.0, 6.4, 88.3, 11.9, 32.8, .250, .414,0.317,0.321, .376, 34.9,21.8,8.3, , 
493159, 2015, 534, 93,4.0, 4.3, 89.7, 13.8, 33.3, .269, .410,0.328,0.333, .403, 40.9,22.8,8.1, 3.62, 4.45
493159, ALL, 534, 93,4.0, 4.3, 89.7, 13.8, 33.3, .269, .410,0.328,0.333, .403, 40.9,22.8,8.1, , 
493159, MLB, , ,43640.0, 6.4, 88.3, 11.9, 32.8, .250, .414,0.317,0.321, .376, 34.9,21.8,8.3, , 
606995, 2018, 206, 29,1.0, 3.4, 87.3, 14.9, 37.9, .215, .335,0.248,0.323, .331, 24.1,22.4,18.4, 1.46, 4.26
606995, ALL, 206, 29,1.0, 3.4, 87.3, 14.9, 37.9, .215, .335,0.248,0.323, .331, 24.1,22.4,18.4, , 
606995, MLB, , ,43640.0, 6.4, 88.3, 11.9, 32.8, .250, .414,0.317,0.321, .376, 34.9,21.8,8.3, , 
